artifact_id,subspace_target,subspace_theory,target_variable,scoring_theory,pair_split,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75,row_set_sha256
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,contextual_outcome_history,dual_history,mech_pair_test,,,0.0,0.0,0.05892556509887896,0.7777777777777778,18,0.1,0,0.0,,,,52084ab2af7ee287ac4f291178d4ed78ace1e52256fe1681398d918762e80e52
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,contextual_outcome_history,dual_history,mech_task_holdout,0.07308582124084217,0.1733776573318733,0.02831534160732537,0.011663031383939914,0.6740981159945207,0.2777777777777778,18,0.1,12,0.6666666666666666,1.963852125363985e-08,1.0402221195526806e-08,0.2387247376910152,5d1e8a6aa7071284bd3588050ec5c960c35766543da57144d025192b9339b3c6
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,contextual_outcome_history,latent_context,mech_pair_test,-0.009247041815868107,-0.27219749805114685,-0.06842603286935522,0.07285750923933978,1.0952887943026728,0.1111111111111111,18,0.1,18,1.0,1.1698410906646473e-08,5.13954068193101e-09,1.3090777878366211e-08,52084ab2af7ee287ac4f291178d4ed78ace1e52256fe1681398d918762e80e52
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,contextual_outcome_history,latent_context,mech_task_holdout,0.06322306848994641,0.18028016929733764,0.045620834436168475,-0.009418888941135533,0.8292522914363593,0.2777777777777778,18,0.1,18,1.0,4.7533242897301875e-08,1.2307144525713909e-08,0.16272237708560994,5d1e8a6aa7071284bd3588050ec5c960c35766543da57144d025192b9339b3c6
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,contextual_outcome_history,outcome_history,mech_pair_test,,,0.0,0.0,0.05892556509887896,0.7777777777777778,18,0.1,0,0.0,,,,52084ab2af7ee287ac4f291178d4ed78ace1e52256fe1681398d918762e80e52
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,contextual_outcome_history,outcome_history,mech_task_holdout,0.07270804740134829,0.17688945512826587,0.028808802406297775,0.011037996807523645,0.6842477105231648,0.2777777777777778,18,0.1,12,0.6666666666666666,1.9274847495864833e-08,1.0047554455105967e-08,0.23489443013721945,5d1e8a6aa7071284bd3588050ec5c960c35766543da57144d025192b9339b3c6
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,outcome_history,dual_history,mech_pair_test,0.001109881714550176,-0.011549396604888783,-0.004123852616262158,0.009934542639834494,1.178265747301276,0.2916666666666667,24,0.1,24,1.0,1.2672469518193452e-08,4.352686655550997e-09,0.1581361660496773,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,outcome_history,dual_history,mech_task_holdout,-0.05953401782852619,-0.14757012412395054,-0.03526682128020405,0.013126508218908378,0.7207104232191351,0.2222222222222222,18,0.1,12,0.6666666666666666,1.502037122458333e-08,-0.27123165790027454,0.05968119915164474,6b93e1e1c0f52e231530074aa9e596037258b9f343d6a82f8f1c60f2255b79e2
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,outcome_history,latent_context,mech_pair_test,0.0027394826444291365,0.02338620437494712,0.007311073671222856,-0.0036155369390803585,1.2458059352564907,0.2916666666666667,24,0.1,24,1.0,1.1530308929863509e-08,4.300606204488133e-09,0.13869740412874723,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,outcome_history,latent_context,mech_task_holdout,-0.04496029405075186,-0.07473002530444388,-0.016557012730280193,0.0027389974979628658,0.7481134182937271,0.2222222222222222,18,0.1,13,0.7222222222222222,1.6352143750175685e-08,-0.24346205890793193,9.556261182375181e-08,6b93e1e1c0f52e231530074aa9e596037258b9f343d6a82f8f1c60f2255b79e2
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,outcome_history,outcome_history,mech_pair_test,0.0010423837296092975,-0.012991047514939923,-0.004707420197944216,0.010587030120776672,1.1739946627807005,0.2916666666666667,24,0.1,24,1.0,1.2626712120322736e-08,4.3960713957957864e-09,0.15888833348104758,a01b72def64b1899c8a9acf5ff68985d66f74135093d3d341b80719e4b55042a
das_000_contextual_outcome_history_latent_context_L30_r8__persistence_state,persistence_state,direct_persistence_control,outcome_history,outcome_history,mech_task_holdout,-0.057843374348520715,-0.14532593021037002,-0.03463423278160708,0.013180289054028155,0.7308290343579779,0.2222222222222222,18,0.1,12,0.6666666666666666,1.46612009754854e-08,-0.2662930175757153,0.05872362199044048,6b93e1e1c0f52e231530074aa9e596037258b9f343d6a82f8f1c60f2255b79e2
