model,sharing,r2,mse,correlation,macro_r2,macro_mse,macro_correlation,macro_decision_log_loss,macro_decision_brier,parameters,split,explainable_variance_fraction
meta_control,fully_shared,0.045080667631467564,1.1273821390200487,0.40360152430698515,-1.4176462784555781,1.138905030201336,0.5067359841987032,0.6715918375700403,0.23896274685536897,16.0,structural_test,-0.21333327605593408
dual_history,hierarchical,0.8524379966374798,0.21354528016167085,0.9235506887357057,0.7889012633109252,0.2130701510809246,0.8890928698814028,0.5817938500509063,0.1984227937670608,247.0,interpolation_test,1.1607721908750777
latent_context,hierarchical,0.8487344312510516,0.21890491807671658,0.9215978237439414,0.7858686981053206,0.2184076645045218,0.8877493334526496,0.5820837265941259,0.1984282248175038,231.0,interpolation_test,1.1541858678650199
outcome_history,hierarchical,0.8479322895578425,0.22006574246715857,0.9211531027449702,0.7842820090973986,0.2194470229898576,0.8866400035509275,0.5816742301832466,0.19833085693263136,215.0,interpolation_test,1.152903332316275
choice_perseveration,hierarchical,0.7990443759618171,0.2908141937451958,0.8941243560536971,0.7307211930456017,0.2895776823821364,0.8560683961366403,0.5876030693252451,0.20111809439465783,215.0,interpolation_test,1.0663643132996992
task_set_reinstatement,hierarchical,0.7973894703737963,0.29320910076314133,0.8932654605413199,0.7293848989004993,0.2919081302369876,0.8550825309724915,0.5881616356161873,0.2013911317609521,231.0,interpolation_test,1.0634886142406037
immediate_state,hierarchical,0.7850159651239215,0.311115496616788,0.8864621602434729,0.7032399652689427,0.30960906489780066,0.839537451779365,0.5880639647470637,0.2011388359634537,183.0,interpolation_test,1.0416462198513685
dynamic_reevaluation,hierarchical,0.6797776996414022,0.46341171362451183,0.8246328374182021,0.5742082108893122,0.4623575058128925,0.764589612905019,0.6069721522404994,0.2095879956472204,87.0,interpolation_test,0.853159467443066
meta_control,hierarchical,0.4962378222153193,0.7290226002529774,0.7075210385513733,0.35096852685837693,0.7302345966276027,0.6060977215576496,0.6272758395268748,0.21867329942480057,135.0,interpolation_test,0.522607596734839
option_termination,hierarchical,0.4426477033009658,0.8065758774970404,0.6695746456418689,0.3330321390079377,0.7946240409456831,0.5928831239172526,0.6417363627876057,0.22524736614287658,87.0,interpolation_test,0.4431530558165685
latent_motivation,hierarchical,0.33663230406365097,0.9599967285000294,0.5866597158856395,0.18269992545814076,0.944750376456607,0.42842771780856814,0.6541259405016706,0.23124556176614114,87.0,interpolation_test,0.25790189867289187
generic_sequential_choice,hierarchical,0.2587121512109659,1.0727593672010514,0.5169745278413038,0.08869189041670533,1.0608280643627896,0.32544833181867955,0.6595688437286531,0.23365973909720145,103.0,interpolation_test,0.1146656974427739
intercept,hierarchical,0.19446281897872408,1.1657381919600758,0.44746307946216957,0.007119233285747183,1.1537524014158473,0.10969403807120028,0.6641083731152407,0.23618065073245534,23.0,interpolation_test,0.0
dual_history,hierarchical,0.8235307561966068,0.208340397776699,0.9195204182284902,0.71589324080195,0.2101509444011866,0.8709834702433868,0.5886264786172939,0.20139938642993968,247.0,structural_test,1.1023463036773467
outcome_history,hierarchical,0.8186625256506251,0.21408785306442316,0.9163343321084743,0.7049852102058171,0.2160765423731476,0.8641427515490651,0.5886907447970682,0.20144579862776094,215.0,structural_test,1.0939520598526196
latent_context,hierarchical,0.8162225289968109,0.2169685242934325,0.9154178272094,0.7045341703347433,0.2188560842748871,0.8643616365415593,0.588676787518959,0.2013708687831098,231.0,structural_test,1.0900145412165847
choice_perseveration,hierarchical,0.7442745806480461,0.301910601763313,0.8745768246002527,0.6343170037102878,0.3034367827021448,0.8225382655677239,0.599538101220071,0.20580611574197216,215.0,structural_test,0.9701969280704204
task_set_reinstatement,hierarchical,0.7428705491178704,0.30356820782079524,0.8738594857370647,0.6327377006793659,0.3048722874358871,0.8215191395629045,0.5977732346452553,0.2051277594012964,231.0,structural_test,0.9681633819534543
immediate_state,hierarchical,0.7174317757987225,0.3336013401561232,0.859065372415121,0.5749520102178584,0.3362940643506288,0.7853219018019088,0.6037690380494461,0.20760397948535567,183.0,structural_test,0.9236510714530447
dynamic_reevaluation,hierarchical,0.6504692300806925,0.41265762843816395,0.8113827609267759,0.4773472885281674,0.41502391961247476,0.7203529507903804,0.6098801698462237,0.21034952486013356,87.0,structural_test,0.8121218039461057
option_termination,hierarchical,0.39407652356753287,0.7153560324813562,0.6374968453672575,0.22179115209576886,0.7141570440901963,0.5233477899123479,0.6339273481917268,0.22214243466796302,87.0,structural_test,0.38836771283157207
