phase,model,task,r2,mse,n
selection,outcome_history,effort,0.719950037401935,0.5153787630780226,160
selection,outcome_history,foraging,0.7118676903763131,0.47547887402238326,212
selection,outcome_history,information_sampling,0.5787387858759081,0.0696168610077057,160
selection,outcome_history,solvability,0.81698678092898,0.342908396862647,160
selection,outcome_history,waiting,0.8484519448569147,0.23082505903074368,160
selection,outcome_history,task_macro,0.7308330442151038,0.38769508853121587,1284
test,outcome_history,bandit,0.7894769488496098,0.6246260813706266,204
test,outcome_history,debugging,0.6488318956382598,0.4584581290923996,218
test,outcome_history,effort,0.7284660773538674,0.6255860497729783,160
test,outcome_history,foraging,0.7350528741666036,0.4071633593838646,228
test,outcome_history,information_sampling,0.5308450622463803,0.077143687042588,160
test,outcome_history,solvability,0.818829675236706,0.3321998521372572,160
test,outcome_history,waiting,0.7915612740328397,0.254097671619006,160
test,outcome_history,task_macro,0.7204376867891809,0.39703926148838864,1290
train,dual_history,bandit,0.8089862616830567,0.5223313817115031,654
train,dual_history,debugging,0.707176108455483,0.4685099433045298,652
train,dual_history,effort,0.7888989008086434,0.57527517644167,480
train,dual_history,foraging,0.7217440129091709,0.4078323479641396,640
train,dual_history,information_sampling,0.5701847888315953,0.08716443544545374,480
train,dual_history,solvability,0.8265729999323119,0.375539270052171,480
train,dual_history,waiting,0.7951403916749169,0.2891327960948283,480
train,dual_history,task_macro,0.7455290663278825,0.3893979072877566,3866
selection,dual_history,bandit,0.7784695002289383,0.6537401305860977,222
selection,dual_history,debugging,0.6715944056182711,0.3911830278811628,210
selection,dual_history,effort,0.7061305972107097,0.5408108178660692,160
selection,dual_history,foraging,0.7133757831644398,0.472990203932742,212
selection,dual_history,information_sampling,0.5886673009236956,0.0679760926936042,160
selection,dual_history,solvability,0.8184725081793289,0.34012461789750803,160
selection,dual_history,waiting,0.8470017927371689,0.23303380693138695,160
selection,dual_history,task_macro,0.7319588411517932,0.3856940996840815,1284
test,dual_history,bandit,0.7980729969950313,0.5991214354945217,204
test,dual_history,debugging,0.6464686981124119,0.46154333843493134,218
test,dual_history,effort,0.7201061555307491,0.6448464442709101,160
test,dual_history,foraging,0.7400999852439853,0.39940709973399585,228
test,dual_history,information_sampling,0.5050698470790845,0.08138193537445454,160
test,dual_history,solvability,0.8196918270012354,0.33061898237246135,160
test,dual_history,waiting,0.7941268945741333,0.2509700464487038,160
test,dual_history,task_macro,0.717662343505233,0.395412754589997,1290
train,latent_context,bandit,0.8131489890682305,0.5109483096563486,654
train,latent_context,debugging,0.7079037782006368,0.4673456922960199,652
train,latent_context,effort,0.787856189736563,0.5781166860229393,480
train,latent_context,foraging,0.7186846222156397,0.4123164149663536,640
train,latent_context,information_sampling,0.566231136230052,0.08796621697390214,480
train,latent_context,solvability,0.8268853469643851,0.3748629129890727,480
train,latent_context,waiting,0.7940428452739247,0.29068184064468966,480
train,latent_context,task_macro,0.7449647010984902,0.3888911533641894,3866
selection,latent_context,bandit,0.7733141648488445,0.6689536096694775,222
selection,latent_context,debugging,0.6823003037513202,0.37843060916625676,210
selection,latent_context,effort,0.7099834311752317,0.5337204087670677,160
selection,latent_context,foraging,0.7150299998810317,0.47026039864703356,212
selection,latent_context,information_sampling,0.5761841936643218,0.07003902826394158,160
selection,latent_context,solvability,0.8222886279876116,0.3329744266034781,160
selection,latent_context,waiting,0.8498701311481518,0.2286649987509707,160
selection,latent_context,task_macro,0.732710121779502,0.38329192569546083,1284
test,latent_context,bandit,0.7925550759539602,0.6154932170090058,204
test,latent_context,debugging,0.6394551818406182,0.47069964707568834,218
test,latent_context,effort,0.7248871594936911,0.6338315060489053,160
test,latent_context,foraging,0.7374455654027957,0.4034863381720591,228
test,latent_context,information_sampling,0.5280499352214143,0.0776032930002503,160
test,latent_context,solvability,0.8186818951007434,0.33247082664359395,160
test,latent_context,waiting,0.7905742705987517,0.2553008802517494,160
test,latent_context,task_macro,0.7188070119445679,0.39841224402875025,1290
