layer,direction,steering_mode,task_family,linear_slope,linear_intercept,dose_r2,monotonic_rho,mean_absolute_effect,task_sign_consistency
30,action_orthogonal,neural_norm,solvability,0.0037202380952380976,-0.017857142857142856,0.08680555555555547,0.09356014857063998,0.017857142857142856,
30,action_orthogonal,neural_norm,waiting,-0.005208333333333335,0.00669642857142857,0.6805555555555556,-0.8660254037844387,0.006696428571428571,
30,action_raw,computational_units,bandit,0.005208333333333331,0.017857142857142856,0.17013888888888873,0.22454435656953595,0.017857142857142856,
30,action_raw,computational_units,debugging,0.026041666666666664,0.044642857142857144,0.5735018726591761,0.7637626158259735,0.05357142857142857,
30,action_raw,computational_units,effort,0.034970238095238096,3.2783192220715434e-19,0.7107464607464606,0.854686736757637,0.04017857142857143,
30,action_raw,computational_units,foraging,-0.0014880952380952389,0.015625,0.011904761904761973,-0.11227217828476797,0.015625,
30,action_raw,computational_units,information_sampling,0.0037202380952380976,-0.02008928571428571,0.08012820512820507,0.23862250691966458,0.020089285714285716,
30,action_raw,computational_units,solvability,0.011160714285714288,-0.01339285714285714,0.6048387096774195,0.7484811885651198,0.017857142857142856,
30,action_raw,computational_units,waiting,0.004464285714285714,3.9339830664858525e-18,0.08571428571428563,0.14824986333222026,0.013392857142857142,
30,action_raw,neural_norm,bandit,0.006696428571428571,0.008928571428571426,0.5192307692307692,0.6573757351339166,0.008928571428571428,
30,action_raw,neural_norm,debugging,0.00818452380952381,0.020089285714285712,0.2520833333333332,0.5800729211379677,0.020089285714285716,
30,action_raw,neural_norm,effort,0.004464285714285715,-0.00892857142857143,0.5,0.7216878364870323,0.008928571428571428,
30,action_raw,neural_norm,foraging,-0.011904761904761908,0.015625,0.7619047619047619,-0.8607533668498877,0.015625,
30,action_raw,neural_norm,information_sampling,-0.002232142857142857,-0.022321428571428572,0.05769230769230749,-0.35856858280031817,0.022321428571428572,
30,action_raw,neural_norm,solvability,0.007440476190476191,-0.008928571428571426,0.17361111111111138,0.2909571869813232,0.017857142857142856,
30,action_raw,neural_norm,waiting,-0.0014880952380952384,0.004464285714285714,0.027777777777777568,-0.1928791874526149,0.008928571428571428,
30,action_residualized,computational_units,bandit,-0.0007440476190476189,0.011160714285714286,0.006944444444444309,-0.07715167498104596,0.011160714285714286,
30,action_residualized,computational_units,debugging,-0.014880952380952385,0.026785714285714284,0.5464480874316939,-0.7671932182792478,0.026785714285714284,
30,action_residualized,computational_units,effort,0.006696428571428576,-0.013392857142857146,0.2812499999999998,0.34718253741470684,0.013392857142857142,
30,action_residualized,computational_units,foraging,0.004464285714285714,0.017857142857142856,0.29999999999999993,0.5976143046671969,0.017857142857142856,
30,action_residualized,computational_units,information_sampling,-0.002976190476190477,-0.024553571428571425,0.10256410256410253,-0.40089186286863665,0.024553571428571428,
30,action_residualized,computational_units,solvability,0.0037202380952380963,-0.00892857142857143,0.10416666666666674,0.3555285645684319,0.013392857142857142,
30,action_residualized,computational_units,waiting,-0.0014880952380952378,0.0022321428571428588,0.01960784313725461,-0.18898223650461365,0.011160714285714286,
30,action_residualized,neural_norm,bandit,0.011904761904761904,0.015625,0.7619047619047619,0.8607533668498877,0.015625,
30,action_residualized,neural_norm,debugging,-0.0029761904761904786,0.024553571428571425,0.10256410256410253,-0.40089186286863665,0.024553571428571428,
30,action_residualized,neural_norm,effort,-0.005208333333333334,-0.006696428571428571,0.3141025641025641,-0.40089186286863665,0.006696428571428571,
30,action_residualized,neural_norm,foraging,0.002232142857142858,0.01339285714285714,0.07499999999999973,0.25896619868911863,0.013392857142857142,
30,action_residualized,neural_norm,information_sampling,0.0037202380952380976,-0.03125,0.059523809523809534,0.18531232916527532,0.03125,
30,action_residualized,neural_norm,solvability,0.0014880952380952384,-0.017857142857142856,0.013888888888888729,0.18712029714127995,0.017857142857142856,
30,action_residualized,neural_norm,waiting,-0.004464285714285715,0.002232142857142857,0.30000000000000016,-0.4183300132670378,0.006696428571428571,
30,gradient,neural_norm,bandit,0.02529761904761905,0.015624999999999995,0.9174603174603174,0.9543135154205278,0.024553571428571428,
30,gradient,neural_norm,debugging,0.018601190476190476,0.03125,0.6200396825396826,0.6910233190806426,0.03125,
30,gradient,neural_norm,effort,0.033482142857142856,0.008928571428571428,0.8976063829787234,0.981980506061966,0.03125,
30,gradient,neural_norm,foraging,0.027529761904761915,0.017857142857142853,0.8843669250645995,0.9274260335029679,0.03125,
30,gradient,neural_norm,information_sampling,0.02157738095238096,-0.017857142857142856,0.8760416666666666,0.9549937104572925,0.026785714285714284,
30,gradient,neural_norm,solvability,0.034970238095238096,-0.020089285714285716,0.9158374792703151,0.981980506061966,0.03794642857142857,
30,gradient,neural_norm,waiting,0.011904761904761908,0.002232142857142857,0.5614035087719298,0.6614378277661478,0.015625,
