layer,random_index,linear_slope,linear_intercept,dose_r2,monotonic_rho,mean_absolute_effect
30,62,0.0038265306122448983,0.0012755102040816321,0.2812499999999999,0.6362090102803517,0.0063775510204081625
30,63,0.00467687074829932,-0.0012755102040816323,0.42013888888888884,0.7671932182792478,0.0063775510204081625
30,64,0.00042517006802721125,-0.015306122448979588,0.004385964912280493,0.09851380077988758,0.01530612244897959
30,65,0.007227891156462586,0.0025510204081632642,0.6020833333333334,0.6736330697086078,0.007653061224489796
30,66,-0.001700680272108844,0.0012755102040816323,0.07843137254901977,-0.3212698020578432,0.0063775510204081625
30,67,0.0004251700680272107,-0.0012755102040816317,0.002192982456140413,0.10910894511799621,0.008928571428571428
30,68,0.002976190476190476,0.011479591836734693,0.15705128205128227,0.3120448167410998,0.011479591836734693
30,69,0.007227891156462586,0.0025510204081632647,0.6020833333333333,0.8420413371357598,0.01020408163265306
30,70,0.0029761904761904756,0.0025510204081632647,0.15705128205128205,0.23862250691966458,0.007653061224489796
30,71,0.0025510204081632655,0.0012755102040816332,0.17647058823529393,0.5345224838248489,0.003826530612244898
30,72,-0.0004251700680272109,-0.0012755102040816323,0.00833333333333297,-0.019920476822239894,0.003826530612244898
30,73,-0.003401360544217687,3.2783192220715434e-19,0.1269841269841271,-0.3857583749052298,0.007653061224489796
30,74,-0.00510204081632653,0.008928571428571428,0.34285714285714275,-0.592999453328881,0.011479591836734693
30,75,0.0038265306122448983,-0.0038265306122448966,0.33750000000000013,0.6362090102803517,0.0063775510204081625
30,76,-0.004251700680272109,0.0,0.19841269841269848,-0.5014858873767988,0.007653061224489795
30,77,-0.0004251700680272107,0.0,0.003968253968253843,0.03984095364447979,0.00510204081632653
30,78,-0.0012755102040816326,0.0038265306122448966,0.022058823529411797,-0.1468446196428705,0.008928571428571426
30,79,0.0012755102040816326,0.005102040816326529,0.022058823529411686,0.1468446196428705,0.01020408163265306
30,80,0.0063775510204081625,-0.0012755102040816321,0.78125,0.8607533668498877,0.0063775510204081625
30,81,-0.0008503401360544217,0.0038265306122448966,0.02564102564102555,-0.08908708063747481,0.003826530612244898
30,82,-0.0012755102040816326,0.0012755102040816317,0.031249999999999445,-0.20583232685540792,0.0063775510204081625
30,83,0.0017006802721088428,-0.0012755102040816317,0.02564102564102555,0.22454435656953595,0.011479591836734693
30,84,-0.001700680272108844,0.0025510204081632647,0.019607843137254832,-0.14969623771302396,0.012755102040816325
30,85,0.00467687074829932,-0.0025510204081632647,0.8402777777777778,0.9258200997725515,0.00510204081632653
30,86,0.0029761904761904756,0.0063775510204081625,0.3402777777777777,0.6172133998483676,0.0063775510204081625
30,87,0.006802721088435374,0.0,0.6095238095238096,0.8153742483272114,0.007653061224489796
30,88,-0.007227891156462585,0.007653061224489796,0.7768817204301075,-0.8981774262781438,0.01020408163265306
30,89,-0.0021258503401360546,0.0,0.0992063492063493,-0.45817096691151754,0.00510204081632653
30,90,0.0,0.006377551020408162,1.1102230246251565e-16,0.1543033499620919,0.008928571428571428
30,91,-0.0025510204081632655,0.0025510204081632655,0.06382978723404265,-0.3368165348543039,0.01020408163265306
30,92,0.0034013605442176874,-0.003826530612244898,0.156862745098039,0.37435244296357284,0.0063775510204081625
30,93,0.0038265306122448983,-0.0025510204081632634,0.125,0.36369648372665403,0.01020408163265306
30,94,0.0008503401360544217,0.0012755102040816323,0.11111111111111127,0.408248290463863,0.0012755102040816326
30,95,0.0021258503401360546,0.003826530612244897,0.16025641025641035,0.47809144373375745,0.0063775510204081625
30,96,-0.002125850340136054,3.2783192220715434e-19,0.07440476190476175,-0.39295262399668796,0.007653061224489795
30,97,0.0012755102040816328,0.003826530612244898,0.03749999999999998,0.20583232685540792,0.0063775510204081625
30,98,-0.0017006802721088435,0.0012755102040816328,0.13333333333333353,-0.29880715233359845,0.003826530612244898
30,99,0.004251700680272109,0.007653061224489794,0.3472222222222221,0.43037668342494384,0.01020408163265306
