target,layer,heldout_task,target_normalization_used,r2,pearson_r,mse,contrast_sign_accuracy,evidence_level,result_type
action_history,31,bandit,False,0.3797999041420103,0.6517838346861661,0.7367666651119926,1.0,2,information_access_loto
action_history,31,debugging,False,0.3568382866902128,0.6137605464881687,0.476432708869438,1.0,2,information_access_loto
action_history,31,foraging,False,0.2639184755477798,0.5616842246493946,0.819578045210416,1.0,2,information_access_loto
action_history,31,solvability,False,0.0949392795646988,0.6609601481912596,1.6304142711684655,1.0,2,information_access_loto
contextual_outcome_history,0,bandit,False,-1.2788745364289067,0.6120602927539698,5.754960766766781,1.0,2,information_access_loto
contextual_outcome_history,0,debugging,False,0.0349894615389589,0.2899113181639812,2.636637504530034,1.0,2,information_access_loto
contextual_outcome_history,0,foraging,False,0.0154673374857802,0.4719137490049244,2.95437107800926,1.0,2,information_access_loto
contextual_outcome_history,0,solvability,False,-0.2338779263776542,-0.0349530365402406,2.2227593515254,,2,information_access_loto
contextual_outcome_history,1,bandit,False,0.0036735794000111,0.3893534759352715,2.5160750931164704,1.0,2,information_access_loto
contextual_outcome_history,1,debugging,False,0.0113174061094952,0.1699069698635167,2.70131517038659,1.0,2,information_access_loto
contextual_outcome_history,1,foraging,False,-0.1202501342238189,0.0685829097279824,3.3616300633794767,1.0,2,information_access_loto
contextual_outcome_history,1,solvability,False,-0.4079981477559666,-0.1859879690294153,2.5364268076687546,,2,information_access_loto
contextual_outcome_history,2,bandit,False,0.0342081789164087,0.4431585342749664,2.438964475819753,1.0,2,information_access_loto
contextual_outcome_history,2,debugging,False,0.023243922431436,0.1991178871181917,2.668729101137058,1.0,2,information_access_loto
contextual_outcome_history,2,foraging,False,-0.1359302198805447,0.0423017660556471,3.408682632917026,1.0,2,information_access_loto
contextual_outcome_history,2,solvability,False,-0.535701902775034,-0.1217089065087133,2.7664776981380124,,2,information_access_loto
contextual_outcome_history,3,bandit,False,0.0763647830401015,0.3060937357441183,2.332504203911958,1.0,2,information_access_loto
contextual_outcome_history,3,debugging,False,0.1005504749267121,0.3346814646826345,2.457509277589822,1.0,2,information_access_loto
contextual_outcome_history,3,foraging,False,0.0043435751975656,0.2544233478308369,2.987751099652246,1.0,2,information_access_loto
contextual_outcome_history,3,solvability,False,-0.6510694155377066,-0.1473056070461474,2.974305565363323,,2,information_access_loto
contextual_outcome_history,4,bandit,False,0.0083496690273501,0.2664722717111088,2.5042663200063053,1.0,2,information_access_loto
contextual_outcome_history,4,debugging,False,0.011411158403661,0.6101976205106461,2.7010590168990567,1.0,2,information_access_loto
contextual_outcome_history,4,foraging,False,-0.0016590907586158,0.2390366827006944,3.0057638110300537,1.0,2,information_access_loto
contextual_outcome_history,4,solvability,False,-0.7554808210896629,-0.1371034690620349,3.162396642393814,,2,information_access_loto
contextual_outcome_history,5,bandit,False,-0.002262347513867,0.1802127049655469,2.531065399058145,1.0,2,information_access_loto
contextual_outcome_history,5,debugging,False,0.0048958597696368,0.4541794597130856,2.7188603569332046,1.0,2,information_access_loto
contextual_outcome_history,5,foraging,False,-0.0027392742382668,0.1629652885518546,3.0090052096679365,1.0,2,information_access_loto
contextual_outcome_history,5,solvability,False,-0.3330667873889386,-0.028585495775619,2.401442318184214,,2,information_access_loto
contextual_outcome_history,6,bandit,False,-0.0019392922100394,0.2149990596771608,2.53024957064403,1.0,2,information_access_loto
contextual_outcome_history,6,debugging,False,-0.0516108761301645,0.368271837721991,2.873250151856677,1.0,2,information_access_loto
contextual_outcome_history,6,foraging,False,-0.001474837507476,0.1657371225574792,3.005210906594353,1.0,2,information_access_loto
contextual_outcome_history,6,solvability,False,-0.2676483601224673,0.0420082661849547,2.2835948246355477,,2,information_access_loto
contextual_outcome_history,7,bandit,False,0.1048532162177972,0.4026453265782418,2.260560877228773,1.0,2,information_access_loto
contextual_outcome_history,7,debugging,False,0.0766773670776994,0.4258861960041037,2.52273626630725,1.0,2,information_access_loto
contextual_outcome_history,7,foraging,False,0.0047396038480657,0.3114841215785089,2.9865627027248016,1.0,2,information_access_loto
contextual_outcome_history,7,solvability,False,-0.715467919822752,-0.0264459953516104,3.09031572695529,,2,information_access_loto
contextual_outcome_history,8,bandit,False,0.1270730468158809,0.4799451585582699,2.204447979703243,1.0,2,information_access_loto
contextual_outcome_history,8,debugging,False,0.1613360451311407,0.5455232301192385,2.2914286932359653,1.0,2,information_access_loto
contextual_outcome_history,8,foraging,False,-0.364622519811544,0.495072556853728,4.094939110131468,1.0,2,information_access_loto
contextual_outcome_history,8,solvability,False,-0.1209421805552708,0.0020506941944451,2.019312171069587,,2,information_access_loto
contextual_outcome_history,9,bandit,False,0.1377836062237548,0.4893727367523208,2.1774000452087754,1.0,2,information_access_loto
contextual_outcome_history,9,debugging,False,0.0925140032269922,0.5523374430142861,2.4794668229668577,1.0,2,information_access_loto
contextual_outcome_history,9,foraging,False,-1.095977221984429,0.4792795922935658,6.289577502673818,1.0,2,information_access_loto
contextual_outcome_history,9,solvability,False,-0.040183105035833,0.0060849555556348,1.8738293915385804,,2,information_access_loto
contextual_outcome_history,10,bandit,False,0.1210088462347896,0.4336054087768431,2.21976222182939,1.0,2,information_access_loto
contextual_outcome_history,10,debugging,False,0.0814254450247272,0.7264633632837308,2.509763392032188,1.0,2,information_access_loto
contextual_outcome_history,10,foraging,False,-2.075815787884082,0.4558885369066131,9.229862604865838,1.0,2,information_access_loto
contextual_outcome_history,10,solvability,False,0.0222371675887896,0.2240737294247652,1.7613828992762015,,2,information_access_loto
contextual_outcome_history,11,bandit,False,0.0390254620384241,0.2395527323222249,2.426799139410733,1.0,2,information_access_loto
contextual_outcome_history,11,debugging,False,0.0064289976069726,0.1701321055128102,2.7146714609984723,1.0,2,information_access_loto
contextual_outcome_history,11,foraging,False,-0.0289468141878914,0.1839663623149576,3.0876484086200326,1.0,2,information_access_loto
contextual_outcome_history,11,solvability,False,-0.1334654777002815,0.2637948553970677,2.041872162820736,,2,information_access_loto
contextual_outcome_history,12,bandit,False,-0.0032916396366955,0.1318746207737755,2.5336647241590806,1.0,2,information_access_loto
contextual_outcome_history,12,debugging,False,-0.0001062123459893,-0.011880241971695,2.732527203475064,0.0,2,information_access_loto
contextual_outcome_history,12,foraging,False,-0.0022256916550338,-0.039101813196543,3.007464058634716,0.0,2,information_access_loto
contextual_outcome_history,12,solvability,False,-0.1218323219552295,-0.1870788580872987,2.0209157090522685,,2,information_access_loto
contextual_outcome_history,13,bandit,False,-0.0210904073348594,-0.1083598714815788,2.578612880875178,0.0,2,information_access_loto
contextual_outcome_history,13,debugging,False,-0.0002118227956076,0.0269829759312351,2.7328157562537494,0.0,2,information_access_loto
contextual_outcome_history,13,foraging,False,-0.0048421981396047,-0.0426059272681525,3.015315632663453,0.0,2,information_access_loto
contextual_outcome_history,13,solvability,False,-0.1130333943789154,0.061960576607228,2.005064952558825,,2,information_access_loto
contextual_outcome_history,14,bandit,False,0.0097432143086063,0.1563657584687539,2.5007471273995416,1.0,2,information_access_loto
contextual_outcome_history,14,debugging,False,0.0015636323516049,0.0540057319511265,2.7279647919977354,1.0,2,information_access_loto
contextual_outcome_history,14,foraging,False,-0.0042334487221089,-0.2172023562331865,3.0134889063990222,0.0,2,information_access_loto
contextual_outcome_history,14,solvability,False,-0.2407738450064116,0.069195008163903,2.235181948033328,,2,information_access_loto
contextual_outcome_history,15,bandit,False,0.0119107809998659,0.1624770104948495,2.4952732581416504,1.0,2,information_access_loto
contextual_outcome_history,15,debugging,False,0.000658871779672,0.0660937009845416,2.7304368123140965,1.0,2,information_access_loto
contextual_outcome_history,15,foraging,False,0.0051282477883252,0.5230172372546497,2.985396465726819,1.0,2,information_access_loto
