target,layer,split,r2,pearson_r,mse,contrast_sign_accuracy,task_macro_r2,evidence_level,result_type,mechanistic_claim_permitted
action_history,14,transfer,0.0567573649236697,0.3029471355688354,1.638779273707893,1.0,0.0567573649236697,2,information_access,False
action_history,15,validation,0.1069986378713078,0.3281253658141676,0.8686462135066418,1.0,0.0971949048214897,2,information_access,False
action_history,15,test,0.1144351349946195,0.3457555542386306,1.0357452757581258,1.0,0.110606980801518,2,information_access,False
action_history,15,transfer,0.0408841540248108,0.280267344111979,1.6663572139545606,1.0,0.0408841540248108,2,information_access,False
action_history,16,validation,0.0949934990851855,0.3099082251211721,0.8803239318074613,1.0,0.0852858302728526,2,information_access,False
action_history,16,test,0.1038801728925546,0.3312719410207348,1.0480902236721936,1.0,0.0981691551882942,2,information_access,False
action_history,16,transfer,0.0508360538086292,0.2739017063933791,1.6490668938468187,1.0,0.0508360538086292,2,information_access,False
action_history,17,validation,0.1007791637648858,0.3193818298086218,0.8746960616498382,1.0,0.0932533276695389,2,information_access,False
action_history,17,test,0.1084555516483694,0.339248360423477,1.0427389195290349,1.0,0.1056028537510942,2,information_access,False
action_history,17,transfer,0.0579875040361422,0.2945588691624187,1.6366420436820956,1.0,0.0579875040361424,2,information_access,False
action_history,18,validation,0.1048261462646634,0.3253905318902059,0.8707594539651873,1.0,0.1022907281150843,2,information_access,False
action_history,18,test,0.1253435695645151,0.3723071637585805,1.022986910992133,1.0,0.1188672896172181,2,information_access,False
action_history,18,transfer,0.0712060384945045,0.3133653840144723,1.613676308786742,1.0,0.0712060384945045,2,information_access,False
action_history,19,validation,0.1760818560127955,0.4242918832309307,0.8014471269202446,1.0,0.1529680663703294,2,information_access,False
action_history,19,test,0.2023772723133052,0.4794892449030645,0.9328892830834982,1.0,0.2089561035832074,2,information_access,False
action_history,19,transfer,0.0964210379135094,0.4162235904198324,1.5698680489628232,1.0,0.0964210379135096,2,information_access,False
action_history,20,validation,0.1599622124111266,0.4056587480418112,0.8171271336609828,1.0,0.1346471145492614,2,information_access,False
action_history,20,test,0.1782393820175647,0.4514611392968,0.96112064910594,1.0,0.1857190811379533,2,information_access,False
action_history,20,transfer,0.1039280828314813,0.3763975016384171,1.556825392533949,1.0,0.1039280828314812,2,information_access,False
action_history,21,validation,0.1574578166254665,0.4025265141161492,0.8195632261560154,1.0,0.1280051700368548,2,information_access,False
action_history,21,test,0.1752354497032104,0.448325126417685,0.9646340097034956,1.0,0.1837515127513581,2,information_access,False
action_history,21,transfer,0.0983630064677759,0.3427118437139455,1.5664940943740688,1.0,0.098363006467776,2,information_access,False
action_history,22,validation,0.1339790010705501,0.3747139723189158,0.8424016954958414,1.0,0.1068105522364851,2,information_access,False
action_history,22,test,0.1447047754292206,0.4172873473146618,1.0003422936413446,1.0,0.1513811515631714,2,information_access,False
action_history,22,transfer,0.0970388579391696,0.3426993430645383,1.568794655314908,1.0,0.0970388579391697,2,information_access,False
action_history,23,validation,0.1761580954157938,0.4257867990652902,0.8013729668220152,1.0,0.1432151491608721,2,information_access,False
action_history,23,test,0.1874165455515281,0.4551541526686884,0.9503871566755412,1.0,0.1953522849051031,2,information_access,False
action_history,23,transfer,0.1165696948709507,0.3761189716795028,1.534861996238931,1.0,0.1165696948709506,2,information_access,False
action_history,24,validation,0.16118269688115,0.4073066852010323,0.8159399359046409,1.0,0.1322738879783345,2,information_access,False
action_history,24,test,0.1731900402460551,0.4397948096353163,0.9670262942960272,1.0,0.1800775432266651,2,information_access,False
action_history,24,transfer,0.1069609671345828,0.36325568681734,1.551556093044455,1.0,0.1069609671345828,2,information_access,False
action_history,25,validation,0.1771098923971501,0.4268691185556595,0.8004471285434359,1.0,0.146418122780802,2,information_access,False
action_history,25,test,0.1887602301717018,0.4578079583212044,0.9488156004265866,1.0,0.195351534355604,2,information_access,False
action_history,25,transfer,0.124290487960337,0.3898446637707353,1.521447976112021,1.0,0.1242904879603369,2,information_access,False
action_history,26,validation,0.164270030073713,0.4129751317233071,0.812936804665109,1.0,0.138995950564507,2,information_access,False
action_history,26,test,0.178891643503515,0.4566717851483852,0.9603577724615194,1.0,0.1795264421199862,2,information_access,False
action_history,26,transfer,0.1681489776823903,0.444686502071568,1.445248723385478,1.0,0.1681489776823904,2,information_access,False
action_history,27,validation,0.3395954121361055,0.5862738016690988,0.6423931350596477,1.0,0.2981510015777353,2,information_access,False
action_history,27,test,0.363666127355713,0.6222569575177431,0.7442479127626509,1.0,0.36962919007899,2,information_access,False
action_history,27,transfer,0.3010035442755446,0.6037224759649147,1.2144286755483829,1.0,0.3010035442755446,2,information_access,False
action_history,28,validation,0.3349093892935076,0.5821205928421195,0.6469513543090845,1.0,0.2920706419594736,2,information_access,False
action_history,28,test,0.3615967263967564,0.6214873269849293,0.7466682575071047,1.0,0.3682027232056943,2,information_access,False
action_history,28,transfer,0.2966853855397291,0.5977804732944585,1.221930996556447,1.0,0.2966853855397293,2,information_access,False
action_history,29,validation,0.349842507607752,0.5948062202434103,0.6324255123231395,1.0,0.3054545459583634,2,information_access,False
action_history,29,test,0.3765188924312784,0.6323294667730536,0.7292154840456817,1.0,0.3836567424259451,2,information_access,False
action_history,29,transfer,0.3123762363320291,0.6131543022315016,1.1946698867326917,1.0,0.3123762363320292,2,information_access,False
action_history,30,validation,0.4018667698294939,0.6368945887150753,0.5818201265915104,1.0,0.3540895810636678,2,information_access,False
action_history,30,test,0.4270839643141668,0.6703796485259632,0.6700752263517933,1.0,0.4352636688129171,2,information_access,False
action_history,30,transfer,0.3743857805063769,0.6765911153676015,1.086935193679115,1.0,0.374385780506377,2,information_access,False
