job_index,prompt_id,direction_id,control_role,alpha,p_eos,eos_logit,baseline_p_eos,baseline_eos_logit,delta_eos_logit
63,open_ended_04,random_077,random_subspace,-1.0,8.927775070333155e-07,-13.928927546593913,8.114208753795538e-07,-14.024478147477753,0.09555060088383982
63,open_ended_04,random_077,random_subspace,0.0,8.114208753795538e-07,-14.024478147477753,8.114208753795538e-07,-14.024478147477753,0.0
63,open_ended_04,random_077,random_subspace,1.0,7.600048661515757e-07,-14.089940240850357,8.114208753795538e-07,-14.024478147477753,-0.065462093372604
63,open_ended_04,random_077,random_subspace,2.0,7.128916763576854e-07,-14.153935641749255,8.114208753795538e-07,-14.024478147477753,-0.12945749427150233
63,open_ended_05,random_077,random_subspace,-2.0,3.3028610957330784e-09,-19.528476742090405,2.6912574391246835e-09,-19.73325730037315,0.20478055828274577
63,open_ended_05,random_077,random_subspace,-1.0,2.9691540337495326e-09,-19.634988758857816,2.6912574391246835e-09,-19.73325730037315,0.09826854151533482
63,open_ended_05,random_077,random_subspace,0.0,2.6912574391246835e-09,-19.73325730037315,2.6912574391246835e-09,-19.73325730037315,0.0
63,open_ended_05,random_077,random_subspace,1.0,2.537478005493199e-09,-19.792095157864523,2.6912574391246835e-09,-19.73325730037315,-0.0588378574913726
63,open_ended_05,random_077,random_subspace,2.0,2.398114151702657e-09,-19.84858317619745,2.6912574391246835e-09,-19.73325730037315,-0.11532587582430054
63,open_ended_06,random_077,random_subspace,-2.0,5.55112900091359e-10,-21.31184959872674,4.5706607942896937e-10,-21.506193141093497,0.19434354236675588
63,open_ended_06,random_077,random_subspace,-1.0,5.045480144794112e-10,-21.407358107751783,4.5706607942896937e-10,-21.506193141093497,0.0988350333417145
63,open_ended_06,random_077,random_subspace,0.0,4.5706607942896937e-10,-21.506193141093497,4.5706607942896937e-10,-21.506193141093497,0.0
63,open_ended_06,random_077,random_subspace,1.0,3.952342064739156e-10,-21.65154259856235,4.5706607942896937e-10,-21.506193141093497,-0.14534945746885342
63,open_ended_06,random_077,random_subspace,2.0,3.5404310039233167e-10,-21.761602457331257,4.5706607942896937e-10,-21.506193141093497,-0.25540931623775975
63,open_ended_01,random_078,random_subspace,-2.0,2.7966453597372265e-09,-19.694845221055306,2.886769046028803e-09,-19.66312793449059,-0.031717286564717284
63,open_ended_01,random_078,random_subspace,-1.0,2.7501121380169025e-09,-19.711624145888504,2.886769046028803e-09,-19.66312793449059,-0.04849621139791438
63,open_ended_01,random_078,random_subspace,0.0,2.886769046028803e-09,-19.66312793449059,2.886769046028803e-09,-19.66312793449059,0.0
63,open_ended_01,random_078,random_subspace,1.0,3.042523566421096e-09,-19.61057854231199,2.886769046028803e-09,-19.66312793449059,0.052549392178598
63,open_ended_01,random_078,random_subspace,2.0,3.130356418523661e-09,-19.582118964014086,2.886769046028803e-09,-19.66312793449059,0.08100897047650335
63,open_ended_02,random_078,random_subspace,-2.0,1.1542749867032853e-08,-18.27720830267276,1.3520476294104355e-08,-18.119060524577765,-0.15814777809499603
63,open_ended_02,random_078,random_subspace,-1.0,1.2445696917495752e-08,-18.201890890450315,1.3520476294104355e-08,-18.119060524577765,-0.08283036587254955
63,open_ended_02,random_078,random_subspace,0.0,1.3520476294104355e-08,-18.119060524577765,1.3520476294104355e-08,-18.119060524577765,0.0
63,open_ended_02,random_078,random_subspace,1.0,1.419016282255825e-08,-18.07071685719218,1.3520476294104355e-08,-18.119060524577765,0.048343667385584155
63,open_ended_02,random_078,random_subspace,2.0,1.5586302026804333e-08,-17.976873368043318,1.3520476294104355e-08,-18.119060524577765,0.14218715653444747
63,open_ended_03,random_078,random_subspace,-2.0,8.116735616958692e-10,-20.931922873401867,8.049070854276863e-10,-20.94029426619565,0.008371392793783627
63,open_ended_03,random_078,random_subspace,-1.0,7.984635175262156e-10,-20.948331837277433,8.049070854276863e-10,-20.94029426619565,-0.008037571081782602
63,open_ended_03,random_078,random_subspace,0.0,8.049070854276863e-10,-20.94029426619565,8.049070854276863e-10,-20.94029426619565,0.0
63,open_ended_03,random_078,random_subspace,1.0,7.645777899689676e-10,-20.991697342232307,8.049070854276863e-10,-20.94029426619565,-0.051403076036656614
63,open_ended_03,random_078,random_subspace,2.0,7.887668296291395e-10,-20.96055036442275,8.049070854276863e-10,-20.94029426619565,-0.02025609822710095
63,open_ended_04,random_078,random_subspace,-2.0,7.351727617788129e-07,-14.123159580141275,8.114208753795538e-07,-14.024478147477753,-0.09868143266352192
63,open_ended_04,random_078,random_subspace,-1.0,7.849971552786883e-07,-14.057584958021911,8.114208753795538e-07,-14.024478147477753,-0.033106810544158094
63,open_ended_04,random_078,random_subspace,0.0,8.114208753795538e-07,-14.024478147477753,8.114208753795538e-07,-14.024478147477753,0.0
63,open_ended_04,random_078,random_subspace,1.0,8.383462386518659e-07,-13.991833810834446,8.114208753795538e-07,-14.024478147477753,0.03264433664330646
63,open_ended_04,random_078,random_subspace,2.0,8.940675115809427e-07,-13.92748365424642,8.114208753795538e-07,-14.024478147477753,0.09699449323133358
63,open_ended_05,random_078,random_subspace,-2.0,2.5728694730275947e-09,-19.778244031848637,2.6912574391246835e-09,-19.73325730037315,-0.04498673147548615
63,open_ended_05,random_078,random_subspace,-1.0,2.6261330887678014e-09,-19.757753378548063,2.6912574391246835e-09,-19.73325730037315,-0.02449607817491284
63,open_ended_05,random_078,random_subspace,0.0,2.6912574391246835e-09,-19.73325730037315,2.6912574391246835e-09,-19.73325730037315,0.0
63,open_ended_05,random_078,random_subspace,1.0,2.773183460647033e-09,-19.703269910100545,2.6912574391246835e-09,-19.73325730037315,0.029987390272605552
63,open_ended_05,random_078,random_subspace,2.0,2.8711524269198208e-09,-19.66855234241956,2.6912574391246835e-09,-19.73325730037315,0.06470495795359099
63,open_ended_06,random_078,random_subspace,-2.0,3.9386455208401117e-10,-21.655014041777935,4.5706607942896937e-10,-21.506193141093497,-0.14882090068443787
63,open_ended_06,random_078,random_subspace,-1.0,4.247885376784666e-10,-21.57942962880621,4.5706607942896937e-10,-21.506193141093497,-0.07323648771271252
63,open_ended_06,random_078,random_subspace,0.0,4.5706607942896937e-10,-21.506193141093497,4.5706607942896937e-10,-21.506193141093497,0.0
63,open_ended_06,random_078,random_subspace,1.0,5.022100513230043e-10,-21.41200265432129,4.5706607942896937e-10,-21.506193141093497,0.09419048677220587
63,open_ended_06,random_078,random_subspace,2.0,5.439691475039865e-10,-21.33212858428403,4.5706607942896937e-10,-21.506193141093497,0.1740645568094692
63,open_ended_01,random_079,random_subspace,-2.0,2.9450477612158465e-09,-19.643140799298983,2.886769046028803e-09,-19.66312793449059,0.019987135191605887
63,open_ended_01,random_079,random_subspace,-1.0,2.882587502028855e-09,-19.664577505065537,2.886769046028803e-09,-19.66312793449059,-0.0014495705749482113
63,open_ended_01,random_079,random_subspace,0.0,2.886769046028803e-09,-19.66312793449059,2.886769046028803e-09,-19.66312793449059,0.0
63,open_ended_01,random_079,random_subspace,1.0,2.9252353872522008e-09,-19.64989088230098,2.886769046028803e-09,-19.66312793449059,0.013237052189609244
63,open_ended_01,random_079,random_subspace,2.0,3.027877060191031e-09,-19.61540410016129,2.886769046028803e-09,-19.66312793449059,0.047723834329300274
63,open_ended_02,random_079,random_subspace,-2.0,1.388571391203186e-08,-18.092405287560904,1.3520476294104355e-08,-18.119060524577765,0.026655237016861122
63,open_ended_02,random_079,random_subspace,-1.0,1.3416973310143021e-08,-18.12674525317977,1.3520476294104355e-08,-18.119060524577765,-0.007684728602004753
63,open_ended_02,random_079,random_subspace,0.0,1.3520476294104355e-08,-18.119060524577765,1.3520476294104355e-08,-18.119060524577765,0.0
63,open_ended_02,random_079,random_subspace,1.0,1.3398866904879014e-08,-18.128095679503407,1.3520476294104355e-08,-18.119060524577765,-0.009035154925641109
63,open_ended_02,random_079,random_subspace,2.0,1.3463964165794096e-08,-18.123249028080394,1.3520476294104355e-08,-18.119060524577765,-0.004188503502629004
63,open_ended_03,random_079,random_subspace,-2.0,7.226034215435106e-10,-21.048160561458623,8.049070854276863e-10,-20.94029426619565,-0.10786629526297276
63,open_ended_03,random_079,random_subspace,-1.0,7.262109802397276e-10,-21.04318053620459,8.049070854276863e-10,-20.94029426619565,-0.10288627000894124
63,open_ended_03,random_079,random_subspace,0.0,8.049070854276863e-10,-20.94029426619565,8.049070854276863e-10,-20.94029426619565,0.0
63,open_ended_03,random_079,random_subspace,1.0,8.270638063301305e-10,-20.913139269087704,8.049070854276863e-10,-20.94029426619565,0.02715499710794589
63,open_ended_03,random_079,random_subspace,2.0,8.602907275445659e-10,-20.873750727664138,8.049070854276863e-10,-20.94029426619565,0.06654353853151207
