architecture,variant,task_family,parameter,mu,ontology_effect,random_effect,estimate,bootstrap_estimate,ci_low,ci_high,probability_positive,intervention_derivative
latent_context,M4,information_sampling,factor_progress_evidence__available,-0.26183840507723055,-0.04603376636497468,-0.05368014208210339,-0.3615523135243086,-0.3623851930656123,-0.37189092910785704,-0.3539447719430419,0.0,-0.3615523135243086
latent_context,M4,information_sampling,factor_success_evidence,0.47078227913094745,-0.28588732760469554,-0.13920901452488596,0.045685937001365945,0.03208449166792177,0.016903056346656828,0.04719877883176689,1.0,0.045685937001365945
latent_context,M4,information_sampling,factor_success_evidence__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,information_sampling,factor_uncertainty,0.006101773841903522,0.03940489995725991,0.020361117766062524,0.06586779156522596,0.06452028782134557,0.05202332413095777,0.08012798815878872,1.0,0.06586779156522596
latent_context,M4,information_sampling,factor_uncertainty__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,information_sampling,factor_prior_investment,-0.09435473907641004,0.007545418935952538,0.00472913320624072,-0.08208018693421679,-0.08050104514844601,-0.09357537311081111,-0.06736209672273087,0.0,-0.08208018693421679
latent_context,M4,information_sampling,factor_prior_investment__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,information_sampling,factor_controllability,0.06836982573981731,-0.0041356210995591725,0.005119737670492214,0.06935394231075036,0.06970424518495744,0.05774428858137965,0.08358958267717452,1.0,0.06935394231075036
latent_context,M4,information_sampling,factor_controllability__available,0.3679592699340157,0.3866253986995215,0.09961654840317308,0.8542012170367101,0.8603105725081805,0.8472632449598706,0.8728897909328834,1.0,0.8542012170367101
latent_context,M4,information_sampling,factor_environmental_stability,0.09741657564004534,-0.16488928411388043,-0.05433799192956185,-0.12181070040339695,-0.12244123145207186,-0.1360017523704442,-0.10963863193802434,0.0,-0.12181070040339695
latent_context,M4,information_sampling,factor_environmental_stability__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,information_sampling,factor_goal_continuity,0.04750828170580312,-0.013514439082930896,-0.00035102528747206176,0.03364281733540016,0.038081074050039014,0.019585667587198183,0.051409896303081994,1.0,0.03364281733540016
latent_context,M4,information_sampling,factor_goal_continuity__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,information_sampling,context_relevant_outcome_kernel,0.2752524289260659,-0.1746811116294121,-0.07986957426793066,0.020701743028723116,0.01573297903801838,0.0004984189039057501,0.030062480878263676,0.98,0.020701743028723116
latent_context,M4,information_sampling,context_relevant_outcome_kernel__available,-0.03928713244468286,0.004998001652515394,-0.016098021910131412,-0.05038715270229888,-0.05061369714365409,-0.0549184186386872,-0.04608492853467186,0.0,-0.05038715270229888
latent_context,M4,information_sampling,context_relevant_outcome_kernel*factor_goal_continuity,-0.009589205660347516,-0.030427453162493245,-0.020560464893542563,-0.060577123716383324,-0.06237105853180386,-0.07928374212643305,-0.04772558797378883,0.0,-0.060577123716383324
latent_context,M4,information_sampling,context_relevant_outcome_kernel*factor_goal_continuity__available,-0.03928713244468152,0.004998001652515477,-0.0160980219101314,-0.05038715270229745,-0.050613697143656516,-0.05491841863868716,-0.04608492853468792,0.0,-0.05038715270229745
latent_context,M4,information_sampling,context_relevant_outcome_kernel*factor_environmental_stability,-0.010724661908705,-0.03072211345114301,-0.0109138816715721,-0.05236065703142011,-0.05311862752361592,-0.06955789581062151,-0.040094200320110435,0.0,-0.05236065703142011
latent_context,M4,information_sampling,context_relevant_outcome_kernel*factor_environmental_stability__available,-0.03928713244468076,0.004998001652515537,-0.01609802191013141,-0.05038715270229663,-0.05061369714366129,-0.05491841863870865,-0.04608492853469119,0.0,-0.05038715270229663
latent_context,M4,information_sampling,response_mapping,-0.007012257612976578,-0.05675206125833288,-0.05126531479303117,-0.11502963366434063,-0.12067192347732753,-0.12836453667036918,-0.1137726256593631,0.0,-0.11502963366434063
latent_context,M4,information_sampling,response_mapping__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latent_context,M4,solvability,intercept,-0.2982846885188987,0.1334551178456148,0.07165690321863463,-0.09317266745464928,-0.08792500703263023,-0.11192254380804938,-0.06560342481982573,0.0,-0.09317266745464928
latent_context,M4,solvability,factor_continuation_value,0.24265650227059227,0.04654116685616007,0.03903228551764649,0.3282299546443988,0.3346723366209532,0.3016863762503265,0.3652405482271852,1.0,0.3282299546443988
latent_context,M4,solvability,factor_continuation_value__available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
