layer,random_index,split,r2,pearson_r,mse
8,91,test,0.004501236376857176,0.14057117776013084,1.0555350475341148
8,92,test,-0.001286607409454632,-0.00561511057096935,1.0616719431178618
8,93,test,-0.0007668775694840146,0.046589081523118414,1.0611208695441072
8,94,test,0.001006396945681498,0.07315115279642932,1.0592406528446467
8,95,test,0.002462385028321634,0.09659785766455134,1.0576968574064434
8,96,test,0.0025060157936790395,0.06615696903146585,1.057650595368088
8,97,test,-0.0007191250614824174,0.048126050162571384,1.0610702371901102
8,98,test,-0.001553878751801907,-0.03608379056808233,1.06195533299172
8,99,test,-0.00024160775516968158,0.07320194672644316,1.060563921892658
8,0,transfer,-0.065647995748908,-0.10881795744746914,1.7847257911462846
8,1,transfer,-0.060179219849549215,0.1354509151363788,1.7755667954624186
8,2,transfer,-0.056029936997750385,0.11278885222762161,1.7686176601476542
8,3,transfer,-0.08037499936346748,-0.006891663223090272,1.8093902800601285
8,4,transfer,-0.08130881764838338,-0.04736987948479619,1.8109542201078572
8,5,transfer,-0.06925806377385091,0.17061767806479655,1.7907718603338685
8,6,transfer,-0.052296400326897086,0.06578875653585754,1.7623648081597147
8,7,transfer,-0.06932290141020969,0.016115144200303865,1.790880449100805
8,8,transfer,-0.0653643270076889,-0.1447561756794331,1.784250708454237
8,9,transfer,-0.06936235479584751,-0.16526359742038274,1.79094652483611
8,10,transfer,-0.061937939146615495,-0.1394417551138684,1.7785122631040622
8,11,transfer,-0.06685486609749502,-0.2081145842923973,1.7867470332884228
8,12,transfer,-0.06419323820599887,-0.15555786528493,1.782289392525866
8,13,transfer,-0.0626858407722386,0.1538677139970184,1.7797648336769105
8,14,transfer,-0.05793921994662554,0.1195635901948344,1.7718152887595848
8,15,transfer,-0.06416420898014064,-0.11634817719101323,1.7822407749633193
8,16,transfer,-0.057160320204322046,-0.017747954482540077,1.7705108031655128
8,17,transfer,-0.047815876710947336,0.16745415873511355,1.7548609174874428
8,18,transfer,-0.06272585385263096,0.06720243790068373,1.7798318467777134
8,19,transfer,-0.06855503707921606,0.18148709302649127,1.789594445391238
8,20,transfer,-0.06421547953060913,-0.023128995179823614,1.7823266418481747
8,21,transfer,-0.06927161213967037,-0.15515323366026462,1.7907945508639518
8,22,transfer,-0.05202911720183123,0.2649343032273203,1.7619171677674406
8,23,transfer,-0.05896323869407727,0.12352558977794283,1.7735302947244864
8,24,transfer,-0.06452517143449943,0.006677433051390246,1.782845307608714
8,25,transfer,-0.06293957947662054,0.0920167650214865,1.7801897901463346
8,26,transfer,-0.0643396550791977,0.21124775412160313,1.782534608554892
8,27,transfer,-0.06023997886402088,0.09310451595750344,1.7756685534355998
8,28,transfer,-0.055334144087321624,0.19344078747065707,1.767452360201056
8,29,transfer,-0.06474212538322921,0.22432339970362836,1.7832086577105617
8,30,transfer,-0.061510630879142436,0.20656370563412108,1.77779661582769
8,31,transfer,-0.06272481581183409,0.15840884512743808,1.7798301082879024
8,32,transfer,-0.06039531306288248,0.16229859914757283,1.7759287040219673
8,33,transfer,-0.06464900069510282,0.13992772288865615,1.7830526943592913
8,34,transfer,-0.06456693299893002,-0.08719342334331358,1.782915249035353
8,35,transfer,-0.06625397811020939,-0.16962794489288072,1.7857406781948304
8,36,transfer,-0.06657776785024394,-0.16673502346026994,1.7862829547272814
8,37,transfer,-0.06369372529605855,-0.07855070754750693,1.7814528183691676
8,38,transfer,-0.06436705321347658,0.13885896223325164,1.782580494398127
8,39,transfer,-0.06366909441205659,0.21557825427453256,1.7814115670609378
