layer,direction,target,split,r2,pearson_r,mse
8,persistence,action_history,transfer,-0.004796742917359875,0.08134254854514328,1.7457226967363664
8,persistence,action_residual,validation,0.003127426425794111,0.06581228418874584,0.8957018877422723
8,persistence,action_residual,test,0.0036291676315090005,0.08678317496166581,1.0564597087775138
8,persistence,action_residual,transfer,-0.06510809937284145,0.04695796872230847,1.7838215835742193
8,persistence,persistence_logit,validation,0.7015793081097756,0.8376995103411433,0.40679731387471374
8,persistence,persistence_logit,test,0.6940306373501722,0.8348897785311102,0.3678349823296161
8,persistence,persistence_logit,transfer,-1.3010347809350287,0.31095245899356955,2.5684738596543957
30,action_orthogonal,action_history,validation,0.39614978480634466,0.6323816620970483,0.5873811902176568
30,action_orthogonal,action_history,test,0.42168083250103894,0.6668755033536792,0.6763946598240235
30,action_orthogonal,action_history,transfer,0.3680154440513964,0.6728587786877553,1.0980029454544824
30,action_orthogonal,action_residual,validation,0.2707151931553917,0.5218110415533308,0.6552710903163885
30,action_orthogonal,action_residual,test,0.316448555083922,0.579098743948266,0.7247748900014123
30,action_orthogonal,action_residual,transfer,0.2215063738444043,0.6175554361273272,1.3038054389305684
30,action_orthogonal,persistence_logit,validation,0.38208834692468374,0.6285788522795785,0.8423169287985852
30,action_orthogonal,persistence_logit,test,0.3641087264346389,0.6163847203022168,0.7644656097256585
30,action_orthogonal,persistence_logit,transfer,-0.6675602450096723,0.6054861739148307,1.8613733847889884
30,action_raw,action_history,validation,0.38907570921289636,0.6267590268854156,0.5942623319929176
30,action_raw,action_history,test,0.41439855204427767,0.6612804478487567,0.6849119213797767
30,action_raw,action_history,transfer,0.36242088265986205,0.6676344782593728,1.1077228742543408
30,action_raw,action_residual,validation,0.262941897082545,0.5143015508132609,0.6622554894773212
30,action_raw,action_residual,test,0.30852646800579253,0.5722121218421397,0.7331747402736003
30,action_raw,action_residual,transfer,0.21147139831348927,0.6116230553106088,1.3206118137513265
30,action_raw,persistence_logit,validation,0.3992106754091156,0.6414756950024844,0.8189763313667235
30,action_raw,persistence_logit,test,0.3805356080438861,0.6291311993433859,0.7447172870369471
30,action_raw,persistence_logit,transfer,-0.635025583244226,0.6124756878356322,1.8250573634191205
30,action_residualized,action_history,validation,0.927018735966221,0.9628680441031917,0.07099081966544046
30,action_residualized,action_history,test,0.9360320856279167,0.968116240724783,0.07481604987860828
30,action_residualized,action_history,transfer,0.6457521120028975,0.8418976359460948,0.6154663445185214
30,action_residualized,action_residual,validation,0.9870896578943462,0.9935892886676997,0.011600096242964668
30,action_residualized,action_residual,test,0.9884536794033195,0.9942474563239665,0.012242653135504008
30,action_residualized,action_residual,transfer,0.6321885105319095,0.8208213984549689,0.6160032713919772
30,action_residualized,persistence_logit,validation,-0.03064216331111025,0.013575766586676028,1.4049376433830252
30,action_residualized,persistence_logit,test,-0.032925240629141816,0.05812479264836067,1.2417780471356246
30,action_residualized,persistence_logit,transfer,-1.1273625111288599,0.1687021290455684,2.374616431318294
30,gradient,action_history,validation,0.001841760817080762,0.05506587661604652,0.9709351090796529
30,gradient,action_history,test,-0.0011662985043521257,0.04964061075365668,1.1709512254845755
30,gradient,action_history,transfer,-0.011371373959491393,0.008354735689485053,1.7571453876575098
30,gradient,action_residual,validation,0.0009009034876401589,0.05152707482392116,0.8977024451371415
30,gradient,action_residual,test,-0.0007222251941447766,0.027155691806927618,1.0610735242847773
30,gradient,action_residual,transfer,-0.058719197255701516,0.0638523474900502,1.7731215790407753
30,gradient,persistence_logit,validation,0.3557626935116269,0.6070254315642886,0.8782031973632586
30,gradient,persistence_logit,test,0.2976328490590545,0.5601905218213707,0.8443826084997431
30,gradient,persistence_logit,transfer,-0.4563004184404944,0.4500901360501403,1.6255597644848392
30,persistence,action_history,validation,0.02599727414473807,0.16654797161509807,0.947438397789805
30,persistence,action_history,test,0.024195364897308447,0.17274676232318317,1.141288550177919
30,persistence,action_history,transfer,0.017051640676251534,0.17435195245863092,1.7077635578406438
30,persistence,action_residual,validation,-0.00085717324306267,0.01002408318798515,0.8992820980318342
30,persistence,action_residual,test,-0.0010687382493224096,0.056991060174118084,1.0614409347603433
30,persistence,action_residual,transfer,-0.06448933743048602,0.09887112837386043,1.7827852935408248
30,persistence,persistence_logit,validation,0.9931357050568388,0.9965744191603713,0.009357182060113127
30,persistence,persistence_logit,test,0.9933360330837048,0.9967341779726308,0.00801139085191994
30,persistence,persistence_logit,transfer,0.6364762454605151,0.8311632632034854,0.40577451007440973
