model,sharing,r2,mse,correlation,macro_r2,macro_mse,macro_correlation,macro_decision_log_loss,macro_decision_brier,parameters,split,explainable_variance_fraction
latent_motivation,task_specific,-0.7313202731137576,1.2101455904157825,-0.19492716956783376,-0.8732821234451935,1.1875452482595479,0.023596215227341406,0.7736174659117252,0.2868422738754943,70.0,structural_test,-18.61800911445215
latent_context,task_specific,-0.4203154476205653,0.992761710602641,0.12587426351371422,-0.8972522696760592,1.0305350892748895,-0.25410799068394196,0.6854173856639506,0.2456222425716496,196.0,structural_test,-12.162790808686696
dynamic_reevaluation,task_specific,-0.5847262483130307,1.1076803704049005,0.0932025588771593,-0.9098128006644624,1.1011546778138723,-0.23977890747971864,0.6660851872617154,0.2359535574523364,70.0,structural_test,-15.066200776744937
choice_perseveration,task_specific,-0.5977552141823044,1.1167872617405068,0.033738430852299085,-1.1120078819753694,1.1624793800622581,-0.3639136246261649,0.6588546159207456,0.23118698819767766,182.0,structural_test,-17.58746655412738
outcome_history,task_specific,-0.511076435778895,1.056201162740544,0.1253948595101963,-1.1248907877079533,1.111143676475415,-0.2598338422017435,0.7133692740082662,0.2596302578744189,182.0,structural_test,-15.476882272982117
meta_control,task_specific,-0.4496192694713146,1.013244281820522,-0.05654650184758198,-1.249321310509673,1.1149955487171808,-0.0547319584699416,0.6815135302614911,0.24440286678938586,112.0,structural_test,-15.635245759569923
task_set_reinstatement,task_specific,-0.5524049043133299,1.0850886336101802,0.12485993189390777,-1.25058366236701,1.1649397035954903,-0.20184766544355615,0.6876808677591945,0.24410710689045526,196.0,structural_test,-17.688618770089263
dual_history,task_specific,-0.7284086874110041,1.2081104715218254,0.037076961262095955,-1.3610751480105705,1.2404782852707805,-0.37036745544948413,0.675314341431371,0.2401057640706526,210.0,structural_test,-20.794265171412494
immediate_state,task_specific,-0.35262112643363963,0.9454452287519342,0.16253024588584658,-1.6584108009295933,1.034084141505802,-0.006413277383198301,0.6501419512834106,0.23063310983885385,154.0,structural_test,-12.308704341143807
dynamic_reevaluation,fully_shared,0.03668836851056334,0.7007501582301606,0.19187819536662168,-0.027163797352193115,0.7264677279674338,0.07520528831485893,0.6939159210184471,0.25036856351993025,10.0,interpolation_test,-4.633158047578214
latent_motivation,fully_shared,-0.04279888417488675,0.7585722617694769,0.004317009991845282,-0.04799268423632711,0.7498597779394408,0.051483527459932885,0.6907686768122951,0.24882186089856825,10.0,interpolation_test,-36.9711162819044
intercept,fully_shared,-0.0032057318957665615,0.7297706706566132,,-0.0537508779376585,0.7485964701387541,-3.662166609669015e-18,0.6929370609521264,0.24989494122495862,2.0,interpolation_test,-35.2246770025512
meta_control,fully_shared,-0.026354963505561546,0.7466103175405493,0.04260336771710212,-0.06931322051290077,0.7615822541602382,0.052715576008781996,0.7047223175448983,0.2557451184168124,16.0,interpolation_test,-53.17666247749939
immediate_state,fully_shared,-0.07052322536865496,0.7787400204088296,0.07421024483774274,-0.08870004146953546,0.765804784953903,0.08129581615787876,0.6740682597287879,0.24053839508371813,22.0,interpolation_test,-59.0140313533395
outcome_history,fully_shared,-0.07846908815775855,0.7845201484844454,0.06622287911603619,-0.09203702029541463,0.769087697141939,0.05481636363815195,0.663029668451908,0.23509654946859967,26.0,interpolation_test,-63.552439801966784
