paired_condition_id,semantic_hash,task_family,coverage_marginal,coverage_pairwise,coverage_task_factor,coverage_score,information_variance,information_score,prediction_dual_history,prediction_latent_context,disagreement_raw,disagreement_score,active_score,sampling_strategy
active_round2_candidates-3cd21d304bfefb57,3cd21d304bfefb577cf38bee410c8a48c44a55a37bd218fc6ff5d8e6e828b9c9,bandit,0.011868475624100061,0.01882577494238624,0.02902518039873627,0.2792857142857143,0.0017083526082066328,0.17835714285714285,0.10666262014633221,-0.1259628109057499,0.2326254310520821,0.9425714285714286,0.3715714285714286,coverage
active_round2_candidates-9302f8ef9ba16aa6,9302f8ef9ba16aa651548e139e13006144005a5dfda13e6410ac54f457922865,bandit,0.011883249144754105,0.01892278321283147,0.028905138183636277,0.27917857142857144,0.002678207313211916,0.35314285714285715,-0.08949382152928442,-0.20243943127946734,0.11294560975018292,0.7047857142857142,0.3938857142857143,coverage
active_round2_candidates-0b55b8dd6bc1bdbb,0b55b8dd6bc1bdbba052dd7bc87e19794f0363f65f7f82ac996d6ca8f7a02c6a,bandit,0.011883249144754105,0.01892278321283147,0.028905138183636277,0.27917857142857144,0.0026938085032576923,0.35564285714285715,0.6108210630701421,0.5818460200615073,0.028975043008634738,0.35585714285714287,0.32510000000000006,coverage
active_round2_candidates-40839197b47ef976,40839197b47ef9764d13f194da5eae8694255215a14fef600a96622a92a43b3b,bandit,0.011875593992913899,0.01890666213387293,0.02892364676200902,0.2790357142857143,0.002607200576437439,0.34035714285714286,0.410299126078538,0.22644165147301004,0.18385747460552798,0.8696428571428572,0.42168571428571433,coverage
active_round2_candidates-977c61d2d192e258,977c61d2d192e258c1be790b0a59c5dead3bcff94547bbbd21e3afa473a2b798,bandit,0.011875593992913899,0.01890666213387293,0.02892364676200902,0.2790357142857143,0.002874967178425429,0.39157142857142857,0.21933220638657658,0.2272549721112969,0.00792276572472031,0.13664285714285715,0.2955714285714286,coverage
active_round2_candidates-82509951297572ba,82509951297572ba491b8300e15b4112b11411dc84d8f83c58f95f10dbd56633,bandit,0.011886124556214897,0.018884968681194204,0.028933081029198837,0.27889285714285716,0.004374867065594182,0.6314285714285715,-0.31668528109359284,-0.43176064708264317,0.11507536598905033,0.7126428571428571,0.5066571428571429,coverage
active_round2_candidates-4e4b968f620045cc,4e4b968f620045cc84d01093f69935b28bf8ea5fcbec58b330b1c69776db2d79,bandit,0.011886124556214897,0.018884968681194204,0.028933081029198837,0.27889285714285716,0.002684023239732782,0.35428571428571426,0.8949228647775656,0.7106460149163114,0.18427684986125414,0.8707857142857143,0.4274285714285715,coverage
active_round2_candidates-0882add4591ac048,0882add4591ac04803861b6a8f6aad05227f903535abd12cb5769d6155bf5dd0,bandit,0.011850826785418026,0.01886071106124171,0.02898891519109246,0.2787857142857143,0.0014390869766317666,0.13092857142857142,0.4666598161761613,0.47459973588573223,0.00793991970957092,0.137,0.1912857142857143,coverage
active_round2_candidates-470bd91ac200ada6,470bd91ac200ada69a69343a158d1809da5b9d31e8f7c638e5703e94745b1ab0,bandit,0.01188640203529553,0.018903371570805044,0.028907273904779863,0.27867857142857144,0.0048777637779666904,0.6945,0.777274983280537,0.7523564020138293,0.024918581266707762,0.33264285714285713,0.45580000000000004,coverage
active_round2_candidates-618b4b4669d896e9,618b4b4669d896e947beea0c9c5fbd4db61b59358364bfa329884f864b3dd463,bandit,0.01188640203529553,0.018903371570805044,0.028907273904779863,0.27867857142857144,0.0043862123903704,0.6325714285714286,1.5764779623671825,1.5366418533548043,0.03983610901237822,0.40835714285714286,0.4461714285714286,coverage
