phase,model,task,r2,mse,n
test,dual_history,all,0.7638641923726635,0.4102286935779093,1290
test,dual_history,bandit,0.7422421235564894,0.30330059433782025,204
test,dual_history,debugging,0.5984126350083525,0.4953449887319448,218
test,dual_history,effort,0.810004035073819,0.2355949965084645,160
test,dual_history,foraging,0.6745034197818003,0.5249026829020813,228
test,dual_history,information_sampling,0.6223639017427719,0.1540037993573953,160
test,dual_history,solvability,0.7220398791310938,0.754487833430143,160
test,dual_history,waiting,0.7450044055793995,0.35378008461243016,160
test,dual_history,task_macro,0.7020814856962466,0.40305928284003983,1290
train,latent_context,all,0.7914340477404072,0.3777911242643235,3866
train,latent_context,bandit,0.6787626792397156,0.3814671239202919,654
train,latent_context,debugging,0.6660591290844056,0.410632349043114,652
train,latent_context,effort,0.8109329744823701,0.22419396738781996,480
train,latent_context,foraging,0.7482807152931841,0.4080725044895564,640
train,latent_context,information_sampling,0.5485321948854199,0.1923233989642172,480
train,latent_context,solvability,0.7814094375831929,0.6843679952971574,480
train,latent_context,waiting,0.7780266596056598,0.3202860819186748,480
train,latent_context,task_macro,0.7160005414534211,0.3744776315744045,3866
selection,latent_context,all,0.7557959142947099,0.3994793101181542,1284
selection,latent_context,bandit,0.5841880837313391,0.40729892577448273,222
selection,latent_context,debugging,0.6146265254283221,0.44106379210504576,210
selection,latent_context,effort,0.7717073344331181,0.24804031555150155,160
selection,latent_context,foraging,0.7138964025909574,0.4510826222701493,212
selection,latent_context,information_sampling,0.5721229844089923,0.18943586307455001,160
selection,latent_context,solvability,0.707726821469254,0.6600664354867363,160
selection,latent_context,waiting,0.7758316806828666,0.3665708884274842,160
selection,latent_context,task_macro,0.67715711896355,0.3947941203842786,1284
test,latent_context,all,0.7543565375664422,0.4267459378253438,1290
test,latent_context,bandit,0.7129037495689196,0.33782270629076117,204
test,latent_context,debugging,0.5639595506297175,0.5378417507843831,218
test,latent_context,effort,0.7931870249231903,0.256448089095244,160
test,latent_context,foraging,0.6684159584979852,0.5347194519685798,228
test,latent_context,information_sampling,0.6097100118967359,0.1591641829169461,160
test,latent_context,solvability,0.7269700264157565,0.7411055679034599,160
test,latent_context,waiting,0.7416653147005867,0.35841272878151526,160
test,latent_context,task_macro,0.6881159480904131,0.4179306396772699,1290
