method,split,dataset,n,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,mean_cfr,median_cfr,fraction_behavioral_effect_recovered,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75
cognitive_DAS_75005,mech_pair_test,fresh_signed_history,32,0.3047572304129299,0.94176072086417,1.340898111060364,0.21875000000000006,0.3084055792104463,0.90625,-0.6447365420372839,0.4610566962782396,1.7010599695320638,32,0.1,32,1.0,0.4610566962782396,-1.06858386868252,0.904076753088236
cognitive_DAS_75005,mech_pair_test,original_pairs,24,0.9826743660029379,0.8901371593233253,1.0838814588429544,-0.09115855594234828,0.1551775755130926,1.0,0.9802819628255031,0.9913797677686128,1.0048217804230575,24,0.1,24,1.0,0.9913797677686128,0.9757545460428597,0.9979409671772692
cognitive_DAS_75005,mech_pair_validation,original_pairs,22,0.9581053676429266,0.8507744730583467,1.2669265324614132,-0.3809971318368864,0.23403154080546443,1.0,0.9486290317868638,0.9757545460428595,0.9068922613287047,22,0.1,22,1.0,0.9757545460428595,0.9423897498353604,0.9921506346220106
cognitive_DAS_75005,mech_task_holdout,fresh_signed_history,24,-0.07307468652018612,0.8343462557280317,1.046781318803713,0.16666666666666674,0.22427897169213187,0.625,-11.849306823955088,9.62965462758536e-06,0.8987289881807403,24,0.1,16,0.6666666666666666,0.4433320261464099,-0.4054134652707116,0.8159283012275953
cognitive_DAS_75005,mech_task_holdout,original_pairs,18,0.8770022255962222,0.8565490102327208,0.8618349388180865,-0.03215170707349789,0.24555680677070443,0.7777777777777778,-182.23006148759066,0.9104120567064287,0.7649346013439542,18,0.1,12,0.6666666666666666,0.9615084692187776,0.9104120567064287,0.9845891198379302
direct_DAS_75001,mech_pair_test,fresh_signed_history,32,-0.8040871500227154,0.9460123346443321,1.8964746091625486,0.2812500000000001,0.49680132122012327,0.875,-2.7809565925325948,-0.4330576845311649,1.9028353019977413,32,0.1,32,1.0,-0.4330576845311649,-4.172324756979773,0.52665453449197
direct_DAS_75001,mech_pair_test,original_pairs,24,0.8443254693306166,0.819058732948281,1.2843701121427797,0.059276449572016325,0.4651501623452279,1.0,0.8360039416548396,0.9290120070984602,1.2664357217062552,24,0.1,24,1.0,0.9290120070984602,0.6751532313277828,0.9765800077177885
direct_DAS_75001,mech_pair_validation,original_pairs,22,0.8938827368784266,0.7995352577947432,1.2334494797232225,0.014199325630294492,0.37246735968051164,1.0,0.8848271691097966,0.953499509214566,1.2074017353805886,22,0.1,22,1.0,0.953499509214566,0.8867860513693204,0.9833346403375984
direct_DAS_75001,mech_task_holdout,fresh_signed_history,24,-1.7456076611525861,0.7884771940952726,1.5021640054866652,0.22916666666666677,0.3587507520435538,0.625,-21.192818000852636,-2.6285440455226805,1.4530267069919929,24,0.1,16,0.6666666666666666,-1.6216553245408363,-3.747399259619081,0.42048287575318133
direct_DAS_75001,mech_task_holdout,original_pairs,18,0.7591045659171981,0.8781213546723836,1.3370660082829937,-0.08733607907667418,0.34365101806707826,0.7222222222222222,-239.48516908424958,0.6934161093927285,1.0992166105913506,18,0.1,12,0.6666666666666666,0.8964945871913734,0.7063273701780755,0.9798517895905563
ridge_history_rank2,mech_pair_test,fresh_signed_history,32,0.0761362103798745,0.33331628484025944,0.16477213552871628,0.035156250000000014,0.3555150237171754,0.46875,-0.022815984952532897,4.4965422718590276e-07,0.0,32,0.1,32,1.0,4.4965422718590276e-07,-0.027916572979491155,0.6075498001553886
ridge_history_rank2,mech_pair_test,original_pairs,24,0.1683639846473194,0.08747868920529064,0.09087914508322927,0.03647145688707077,1.0751053889995483,0.5,0.17357556723533218,0.21680103246031046,0.1237029264606216,24,0.1,24,1.0,0.21680103246031046,-0.22533602335880498,0.5768636714420463
ridge_history_rank2,mech_pair_validation,original_pairs,22,0.1858416864708632,0.09791716156292958,0.08601815139445726,0.04067180677592027,1.0316909740272358,0.5,0.1897118008146581,0.1332432575069767,0.0717729843159327,22,0.1,22,1.0,0.1332432575069767,-0.17173830307614008,0.49151070855738654
ridge_history_rank2,mech_task_holdout,fresh_signed_history,24,0.1255745121716454,0.4065576788396935,0.20861861444056576,0.03645833333333335,0.20245801996337806,0.4583333333333333,-1.0157400566099766,1.65026622878095e-06,0.0,24,0.1,16,0.6666666666666666,0.19370867964196026,8.533585188486015e-08,0.6818207237230337
ridge_history_rank2,mech_task_holdout,original_pairs,18,0.17838826958415877,0.1397367746790617,0.040377713308206116,0.060353684387247614,0.6346534806389326,0.5555555555555556,-11.485291293258337,5.660879443991629e-05,0.12748910022399232,18,0.1,12,0.6666666666666666,0.2387247376910152,1.732944623911159e-08,0.44494252396610723
mean_difference_rank2,mech_pair_test,fresh_signed_history,32,0.3339254522707821,0.6284689274082965,0.24905266128445921,0.03125000000000001,0.30186683746501086,0.53125,0.24365169713921825,0.41627296818699794,0.23728741982065482,32,0.1,32,1.0,0.41627296818699794,1.240805458380123e-07,0.7430716065654388
mean_difference_rank2,mech_pair_test,original_pairs,24,0.2519568473865498,0.216631018579317,0.11546816156323005,0.03433247566462239,1.0196420096525627,0.7083333333333334,0.25699636075450577,0.2845783419206503,0.15424160195634706,24,0.1,24,1.0,0.2845783419206503,1.318748477086018e-08,0.48365739213062753
mean_difference_rank2,mech_pair_validation,original_pairs,22,0.24870567336650928,0.3320826150092951,0.13344187018186945,0.004960228729376609,0.991060699956968,0.7727272727272727,0.2477875211400147,0.2640579688849268,0.1421305244107246,22,0.1,22,1.0,0.2640579688849268,0.1581361660496773,0.3453971410573152
