candidate_id,theory,target_variable,layer,relative_depth,rank,training_loss,basis_path,basis_sha256,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,mean_cfr,median_cfr,fraction_behavioral_effect_recovered,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75
latent_context__L16__rank2,latent_context,contextual_outcome_history,16,0.5,2,0.024427454590034033,mechanism/candidates/latent_context__L16__rank2.safetensors,6b194779581f6714b3ceb151bc1f04c05843947d663e1ae81fe9591c5a34fa6c,0.7930140603948894,0.3853878716267885,0.19182066463247033,0.20868859436325435,0.1896906559089158,1.0,0.7026116071259769,0.843073468013076,0.8668976189837609,20,0.1,18,0.9,0.8464814036033527,0.8070326092342791,0.9853689445820308
latent_context__L16__rank8,latent_context,contextual_outcome_history,16,0.5,8,0.022890021569984473,mechanism/candidates/latent_context__L16__rank8.safetensors,ec529ebee5a3c408b0568d49e5bf23f3793b55e59dda6f2fe5b7117022fc1b50,0.7494845620122236,0.07093489797306558,0.04069020455965344,0.290857818744908,0.20868573478454794,1.0,0.19702837254301558,0.8464814036033527,0.8370053064128642,20,0.1,18,0.9,0.8845878404594907,0.8182493065750349,0.9727451166792083
latent_context__L24__rank2,latent_context,contextual_outcome_history,24,0.75,2,0.030442814713040563,mechanism/candidates/latent_context__L24__rank2.safetensors,ee1995a573b77840f03491c57f575ac177ca9eb29e71ae07fadc7435d2bb184b,0.6786739311873078,0.06612332009201773,0.04778104076225121,0.2506755162777248,0.23634613033063584,0.9,0.6458134744428106,0.8845878404594907,0.8452300464699729,20,0.1,18,0.9,0.914496266661341,0.8110688897705709,0.9727451166792083
latent_context__L24__rank8,latent_context,contextual_outcome_history,24,0.75,8,0.031141925315385108,mechanism/candidates/latent_context__L24__rank8.safetensors,e1812899c3c91127ad51c9c7710fed68d63a4e3310dcd9964f0e2bac9524f8fd,0.7652708610679745,0.36337884022614875,0.25380798975727636,0.17899019556150966,0.20200355775689108,0.95,0.6760901424768366,0.8769433261894206,0.8452300464699729,20,0.1,18,0.9,0.906851752391271,0.8303581481839105,0.9866418871656659
latent_context__L28__rank2,latent_context,contextual_outcome_history,28,0.9,2,0.028142630425840063,mechanism/candidates/latent_context__L28__rank2.safetensors,6fcfc71d4e03cd7a52c0edc23d3a6ae17a080f98cd267e61adfed9054bb7dad9,0.648647152465023,0.11029972660390967,0.09127437362611017,0.22172297517911443,0.24714239696251394,0.9,0.6086427219157251,0.8343207705664879,0.8328905482458602,20,0.1,18,0.9,0.8343207705664879,0.6832312600117882,0.9684351347475825
latent_context__L28__rank8,latent_context,contextual_outcome_history,28,0.9,8,0.028271473150386462,mechanism/candidates/latent_context__L28__rank8.safetensors,2fe99e10340660a649ee87755052684c38c9ea9ce8be85a517fc0a5307a83739,0.7054684479383897,0.23267526725946872,0.21046175996315242,0.20788709090613458,0.2262775295835889,0.85,0.5976026366203763,0.8464814036033527,0.8452300464699729,20,0.1,18,0.9,0.8769433261894206,0.8110688897705709,0.9571590801111114
outcome_history__L8__rank2,outcome_history,outcome_history,8,0.25,2,0.035762411599187444,mechanism/candidates/outcome_history__L8__rank2.safetensors,049e6f608cb530c2d6c3762d9618d51da58ee60197a94dba07ffe27a77079e1f,0.41239726758159956,0.7049773908045842,0.2724151042841079,0.015599347373418341,0.18562644341941814,0.4090909090909091,-0.98106154654323,2.239143436988389e-05,0.0,22,0.1,14,0.6363636363636364,0.21833957289970224,2.011127078205277e-07,0.6808603845456249
outcome_history__L8__rank8,outcome_history,outcome_history,8,0.25,8,0.03161705983620777,mechanism/candidates/outcome_history__L8__rank8.safetensors,8a55f44fdadda3d2a7dae0d20b1549969213230c49ac8cae6b7e5bd2e5cf0f13,0.43595633656928745,0.6799593009815033,0.322414774530209,0.013248218736832991,0.18186716742216402,0.5454545454545454,-8.883879437919273,7.722035909718539e-05,0.2630395645204681,22,0.1,14,0.6363636363636364,0.47673127269690074,7.519907182507168e-07,0.8069012701821024
outcome_history__L16__rank2,outcome_history,outcome_history,16,0.5,2,0.030630290034652286,mechanism/candidates/outcome_history__L16__rank2.safetensors,100f286b8b60389c1adc1d317db0a917d73e6cf192a37bc482d564d12aca8b3c,0.6019798463557872,0.7938757387014516,0.6161727054101462,0.06761669214824757,0.15277435959621968,0.45454545454545453,-20.13598109324909,8.228457859527083e-07,0.0,22,0.1,14,0.6363636363636364,9.645559213566912e-07,2.011127078205277e-07,0.9383152443320071
outcome_history__L16__rank8,outcome_history,outcome_history,16,0.5,8,0.02558658648686327,mechanism/candidates/outcome_history__L16__rank8.safetensors,cf0737f1213948690d1e898e30fa73e25c6448015c4aef129ff5851a6382d14f,0.2227791919186507,0.7741715336633043,1.0515690581644002,0.058506736822443325,0.21348636862761342,0.5454545454545454,-8.89459603805929,2.239143436988389e-05,0.5348281443451829,22,0.1,14,0.6363636363636364,0.7829525435412219,6.811356505487254e-07,0.9128575808951368
outcome_history__L24__rank2,outcome_history,outcome_history,24,0.75,2,0.04496933680052169,mechanism/candidates/outcome_history__L24__rank2.safetensors,7c5f072de8729711b0bed4a38b901fb870607dd845578986f1975d7ffc7a252f,0.23371774165696968,0.46196345622438656,0.17010517886022672,0.03177389137478571,0.2119787494033447,0.36363636363636365,-3.465679420598059,6.811356505487254e-07,0.0,22,0.1,14,0.6363636363636364,6.811356505487254e-07,1.7467922833191984e-07,0.32750887707159276
outcome_history__L24__rank8,outcome_history,outcome_history,24,0.75,8,0.04730137223036467,mechanism/candidates/outcome_history__L24__rank8.safetensors,6e078bc3f0ea5c792db99fe68fd3d40c6ec4e50d5f19b9f41a9b87c77bb55942,0.45456841114174695,0.6923202560481901,0.5144064863865448,0.07240203314361272,0.17884140938334497,0.5,-11.186353248856737,1.7316525747212985e-06,0.1383134115944311,22,0.1,14,0.6363636363636364,0.238366118626411,2.011127078205277e-07,0.788632122933128
outcome_history__L28__rank2,outcome_history,outcome_history,28,0.9,2,0.04667545101044264,mechanism/candidates/outcome_history__L28__rank2.safetensors,f26c6f9e16a9f6c7ef8b343a0dcb49689b6100dfecab3270a2778262d5d3f432,0.17971961531286984,0.4074695219065947,0.11531741236634668,0.028668351918492863,0.21932043753409117,0.2727272727272727,-8.182120078090147,1.7316525747212985e-06,0.0,22,0.1,14,0.6363636363636364,4.4112417918462654e-07,1.7467922833191984e-07,0.3275088770715927
outcome_history__L28__rank8,outcome_history,outcome_history,28,0.9,8,0.04839240195093314,mechanism/candidates/outcome_history__L28__rank8.safetensors,09f724f73caf0a13c873696faa224c8054000a254525f4d287366f159f888a85,0.4775188256070194,0.6821759579575547,0.5264504669164615,0.026381145003545867,0.17503837138969663,0.5,-21.005421370436977,8.228457859527083e-07,0.2545431692368103,22,0.1,14,0.6363636363636364,0.3795023907281314,3.211184435025771e-07,0.8069012701821024
