job_index,contrast_family,random_index,control_role,abstraction,layer,rank,row_set_sha256,global_cfr,correlation,slope,intercept,rmse,sign_accuracy
3,same_history_different_evidence,10,random_subspace,E,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,-0.00036142523499593793,-0.25,-0.003067917126437592,-0.078125,5.093952259951698,0.3
3,same_history_different_evidence,11,random_subspace,O,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,0.03749999999999999,0.11858541225631422,0.4
3,same_history_different_evidence,11,random_subspace,O_star,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,0.03749999999999999,0.11858541225631422,0.4
3,same_history_different_evidence,11,random_subspace,H,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,0.03749999999999999,0.11858541225631386,0.5
3,same_history_different_evidence,11,random_subspace,E,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,0.004366529549806097,0.18144368465060576,0.004090556168583457,0.04166666666666666,5.0819003657557085,0.3
3,same_history_different_evidence,12,random_subspace,O,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,0.024999999999999988,0.11180339887498948,0.5
3,same_history_different_evidence,12,random_subspace,O_star,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,0.024999999999999988,0.11180339887498948,0.5
3,same_history_different_evidence,12,random_subspace,H,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,0.024999999999999988,0.11180339887498913,0.4
3,same_history_different_evidence,12,random_subspace,E,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,-0.010299235117928074,-0.18731716231633877,-0.0040905561685834575,0.020833333333333315,5.11919195040243,0.2
3,same_history_different_evidence,13,random_subspace,O,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.05000000000000001,0.13693063937629152,0.4
3,same_history_different_evidence,13,random_subspace,O_star,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.05000000000000001,0.13693063937629152,0.4
3,same_history_different_evidence,13,random_subspace,H,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.05000000000000001,0.13693063937629157,0.2
3,same_history_different_evidence,13,random_subspace,E,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,0.03854648874840916,0.7205766921228922,0.01840750275862555,-0.031250000000000014,4.9939081121977935,0.6
3,same_history_different_evidence,14,random_subspace,O,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,0.0375,0.10458250331675945,0.3
3,same_history_different_evidence,14,random_subspace,O_star,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,0.0375,0.10458250331675945,0.3
3,same_history_different_evidence,14,random_subspace,H,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,0.0375,0.10458250331675918,0.3
3,same_history_different_evidence,14,random_subspace,E,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,-0.03478233459026314,-0.8363333975829068,-0.016362224674333826,0.02083333333333334,5.180848648731219,0.0
3,same_history_different_evidence,15,random_subspace,O,28,2,f7c377f3091f605209cf07291fa01188c38b77ed4927713f7d512f98b0443a36,,,0.0,-0.049999999999999996,0.07905694150420949,0.6
