target,layer,random_index,split,r2,pearson_r,mse
outcome_history,30,25,test,0.09391167171461923,0.3071631481121091,2.6581328767478585
outcome_history,30,26,test,0.1949251625274887,0.4585961462896928,2.361796115151049
outcome_history,30,27,test,-0.011597369878570296,0.014468610902224765,2.9676579456599943
outcome_history,30,28,test,0.00341605446690596,0.12373260981017029,2.9236140311767387
outcome_history,30,29,test,0.05024596019982064,0.24498950398293465,2.7862321577348625
outcome_history,30,30,test,0.059761739428268124,0.2504989549924972,2.7583163300772258
outcome_history,30,31,test,-0.00893912794451035,0.08771989716483933,2.959859632781772
outcome_history,30,32,test,0.14787904173639843,0.38471698613958716,2.4998122847610182
outcome_history,30,33,test,0.01584416240648423,0.1535883605493119,2.8871544926541777
outcome_history,30,34,test,0.03232943622920614,0.1989244604006041,2.8387927083088367
outcome_history,30,35,test,0.029586624593798128,0.1894114088546484,2.8468391178642944
outcome_history,30,36,test,-0.011437296090121007,-0.0027303862984450855,2.967188347513213
outcome_history,30,37,test,0.056702129027517034,0.25889576973701656,2.767292111733818
outcome_history,30,38,test,0.013373682376482843,0.15164897187735224,2.8944019805470216
outcome_history,30,39,test,-0.010020311630525525,0.01589312621521131,2.9630314316140547
outcome_history,30,40,test,0.10615579518203622,0.33271781408946144,2.6222130816024007
outcome_history,30,41,test,0.10528981298077211,0.32829040643134016,2.6247535577215606
outcome_history,30,42,test,0.06189817669611608,0.25728242467161816,2.7520488018865445
outcome_history,30,43,test,0.0036535191524700306,0.1083564636662517,2.9229173963475947
outcome_history,30,44,test,0.08383979206503356,0.2979880074929165,2.6876801003368365
outcome_history,30,45,test,-0.013038855608430877,0.017918727970417665,2.9718867393551474
outcome_history,30,46,test,0.0691563672903629,0.26929920083463577,2.730755916367559
outcome_history,30,47,test,-0.009191932132316394,-0.01578693002571152,2.960601268119089
outcome_history,30,48,test,-0.0073339569910193525,0.05071842459470304,2.9551506463054213
outcome_history,30,49,test,0.008558204285174176,0.14907383385411418,2.9085288379760192
outcome_history,30,50,test,-0.01123668666257216,0.049494260389843524,2.9665998325769682
outcome_history,30,51,test,0.1062214501020845,0.3323155361747841,2.6220204739988673
outcome_history,30,52,test,-0.010159396295709389,0.09013923463691742,2.9634394553239245
outcome_history,30,53,test,0.077961320768832,0.28944007836494945,2.70492539235712
outcome_history,30,54,test,-0.016823285145416866,0.031644480853308135,2.9829888761534815
outcome_history,30,55,test,0.023575566036391216,0.1964015198031048,2.8644733725795453
outcome_history,30,56,test,-0.008949890593554999,0.01416758943571556,2.959891206470974
outcome_history,30,57,test,0.11183109154286197,0.3380109314864965,2.6055638307831726
outcome_history,30,58,test,0.0014533242156760107,0.10156424134233372,2.929371966298643
outcome_history,30,59,test,0.005335803117599736,0.14117102120847685,2.9179821884035757
outcome_history,30,60,test,-0.01871223666307742,0.015073345892192233,2.9885303713641944
outcome_history,30,61,test,0.03401934947488661,0.2060622279036828,2.833835118836632
outcome_history,30,62,test,0.06665818009299829,0.2709519451143617,2.7380846869899016
outcome_history,30,63,test,-0.013972593130706645,0.019921992041872255,2.9746259848886494
outcome_history,30,64,test,-0.00814825920959028,0.056462366011891855,2.957539512193241
outcome_history,30,65,test,0.033086848978915784,0.21220765716652412,2.8365707353858647
outcome_history,30,66,test,0.03467368974915708,0.20540986733767538,2.8319155229856294
outcome_history,30,67,test,0.04439106578957697,0.22667721833259077,2.803408283765761
outcome_history,30,68,test,-0.001999846063747812,0.08816611935635883,2.9395023091826693
outcome_history,30,69,test,-0.006862438755018907,0.043280233185377125,2.9537673836742044
outcome_history,30,70,test,0.054706517894729134,0.26126201944655436,2.7731465073767962
outcome_history,30,71,test,-0.007603182237734263,0.05577322992566273,2.955940455043933
outcome_history,30,72,test,-0.011006059044773364,-0.07766362072321356,2.965923255212467
outcome_history,30,73,test,-0.003045370208941689,0.09903971089097324,2.942569495920449
outcome_history,30,74,test,0.06103997056592525,0.2650585630227048,2.754566465847633
outcome_history,30,75,test,0.08706871684780793,0.29935576392141805,2.678207612000208
outcome_history,30,76,test,0.036002810594937706,0.21450645202946686,2.82801636690222
outcome_history,30,77,test,0.07353402631188832,0.2858843814886961,2.7179134604997865
outcome_history,30,78,test,0.0024185930165777636,0.09488943030553483,2.926540219487125
outcome_history,30,79,test,0.07617141304380448,0.28326837403838817,2.710176329182721
outcome_history,30,80,test,-0.009004052790767547,0.03749222130306404,2.960050098614922
