target,layer,split,r2,pearson_r,mse,contrast_sign_accuracy,task_macro_r2
contextual_outcome_history,11,test,0.0013156094795306883,0.12352885512271584,2.5868812798446386,1.0,-0.018373756068865515
contextual_outcome_history,11,transfer,-0.1867748345960849,0.06539510534996537,2.061889411240186,,-0.18677483459608446
contextual_outcome_history,12,validation,-0.000883544418369242,-0.03353741137289802,2.5598483195000417,0.0,-0.04312832528197097
contextual_outcome_history,12,test,-0.010160329404790058,-0.0352556691509551,2.6166072791195636,0.0,-0.027310334396162927
contextual_outcome_history,12,transfer,-0.09961553920908783,0.0022934211835289823,1.910459819871433,,-0.09961553920908768
contextual_outcome_history,13,validation,-0.0012480313620935046,0.008541755118046354,2.560780527143554,0.0,-0.028710769468863195
contextual_outcome_history,13,test,-0.009525647932659753,0.0030482727920761537,2.614963270627489,0.0,-0.022475293427150544
contextual_outcome_history,13,transfer,-0.06965011490042095,-0.014749338835734286,1.8583982246267141,,-0.06965011490042057
contextual_outcome_history,14,validation,0.001797315119684062,0.05851698106249424,2.5529917837706133,1.0,-0.060020207858128644
contextual_outcome_history,14,test,-0.009175868248169516,0.05424282969808705,2.6140572401272966,1.0,-0.03137427700973561
contextual_outcome_history,14,transfer,-0.13275715019666467,0.05659684341105588,1.968039686561127,,-0.13275715019666437
contextual_outcome_history,15,validation,0.01078238079482785,0.1119681954704564,2.5300116824417613,1.0,-0.09805849920703871
contextual_outcome_history,15,test,-0.0012831458221498337,0.11231890786545444,2.5936128073468465,1.0,-0.03316197513382424
contextual_outcome_history,15,transfer,-0.21043159811087642,0.07757396608952444,2.102990409317857,,-0.21043159811087606
contextual_outcome_history,16,validation,0.02048244112493114,0.14915881714265813,2.5052029189512064,1.0,-0.12612496924869995
contextual_outcome_history,16,test,0.006329595736953131,0.1457211433271919,2.5738936059510227,1.0,-0.03329344849521482
contextual_outcome_history,16,transfer,-0.2437606723758754,0.13070187844591213,2.160895972622819,,-0.24376067237587504
contextual_outcome_history,17,validation,0.06726640065277056,0.2648467007739208,2.3855487985045642,1.0,-0.28241774341281145
contextual_outcome_history,17,test,0.03890192183134622,0.24199328393265962,2.48952186507434,1.0,-0.039249913429783984
contextual_outcome_history,17,transfer,-0.20472765184437436,0.24870137199124354,2.093080436451617,,-0.20472765184437428
contextual_outcome_history,18,validation,0.059128817579701565,0.24869584626554017,2.406361388011661,1.0,-0.2636605646154383
contextual_outcome_history,18,test,0.029501389562749725,0.22243142675718672,2.5138719612378884,1.0,-0.045927465732330086
contextual_outcome_history,18,transfer,-0.2384451792214468,0.19034892387094748,2.1516608938773496,,-0.23844517922144673
contextual_outcome_history,19,validation,0.1286572478605188,0.36162965480471015,2.2285362689911916,1.0,-0.2672312077743351
contextual_outcome_history,19,test,0.06446614909990389,0.29768959604781153,2.423303126118922,1.0,-0.02498857266295057
contextual_outcome_history,19,transfer,-0.10606289795682344,0.2418310567501197,1.9216613893224295,,-0.10606289795682318
contextual_outcome_history,20,validation,0.12934569235718962,0.36036594612883904,2.2267755112110286,1.0,-0.22421426879253337
contextual_outcome_history,20,test,0.057803405540387764,0.28377107194949885,2.4405615580621065,1.0,-0.024448100962084607
contextual_outcome_history,20,transfer,-0.0859589139350645,0.24670881702842604,1.8867329508606256,,-0.08595891393506443
contextual_outcome_history,21,validation,0.12112025606856891,0.34868763403346514,2.2478127930986194,1.0,-0.2067773278713236
contextual_outcome_history,21,test,0.053392385567959444,0.27358457570626993,2.451987374966833,1.0,-0.025809958984069403
contextual_outcome_history,21,transfer,-0.10058988149236692,0.25380432362260014,1.9121526313283765,,-0.1005898814923667
contextual_outcome_history,22,validation,0.13617657251046233,0.36938699137150816,2.2093049301643366,1.0,-0.17999968775638034
contextual_outcome_history,22,test,0.07143262347245849,0.2975899835874657,2.4052579435648154,1.0,0.004723297167726764
contextual_outcome_history,22,transfer,-0.04199032367026723,0.2685538322460762,1.8103424106744588,,-0.041990323670267116
contextual_outcome_history,23,validation,0.10486397770499434,0.32522404351621537,2.2893896649358956,1.0,-0.1525562094939736
contextual_outcome_history,23,test,0.05428694118658972,0.2660573764330805,2.449670217308638,1.0,-0.006936863463206128
contextual_outcome_history,23,transfer,-0.10762269847928962,0.24969581425584514,1.9243713694190454,,-0.10762269847928962
contextual_outcome_history,24,validation,0.09712415295055432,0.31343156541654077,2.3091849523111034,1.0,-0.15731477297854696
contextual_outcome_history,24,test,0.048288388713546904,0.25516763043927393,2.465208202327702,1.0,-0.012698264577669122
contextual_outcome_history,24,transfer,-0.11380119226588792,0.24074388731785645,1.93510581587395,,-0.11380119226588763
contextual_outcome_history,25,validation,0.09514017002369912,0.3103192667215339,2.3142591643805788,1.0,-0.15621121669069765
contextual_outcome_history,25,test,0.04818417875602543,0.25430307454852596,2.4654781362436062,1.0,-0.011445002270537241
contextual_outcome_history,25,transfer,-0.11762853749167945,0.23818574147327878,1.9417554029431823,,-0.11762853749167901
contextual_outcome_history,26,validation,0.12323967417305748,0.351926681783632,2.242392193565988,1.0,-0.14190190542782938
contextual_outcome_history,26,test,0.0644779753957706,0.28228556990404235,2.423272492593779,1.0,0.0018915021180672953
contextual_outcome_history,26,transfer,-0.1317747996080414,0.24197713021473746,1.9663329615634595,,-0.1317747996080414
contextual_outcome_history,27,validation,0.07009927375419744,0.2682539947566134,2.3783034746219953,1.0,-0.11043581890834755
contextual_outcome_history,27,test,0.03517960447579993,0.22481085518202593,2.4991637431051816,1.0,-0.011193857630562715
contextual_outcome_history,27,transfer,-0.15200577691207262,0.21226774038613333,2.0014820367428467,,-0.1520057769120724
contextual_outcome_history,28,validation,0.07747628853122035,0.28165048292460587,2.3594361059004294,1.0,-0.08547365495228884
contextual_outcome_history,28,test,0.043672660123892815,0.24194260111284427,2.4771642737299966,1.0,0.0029237675717489753
contextual_outcome_history,28,transfer,-0.13975090613745556,0.22324354698241697,1.9801905604242576,,-0.13975090613745525
contextual_outcome_history,29,validation,0.0666936359536191,0.2620018891254349,2.3870136949560727,1.0,-0.08484374012589749
contextual_outcome_history,29,test,0.03613067901502076,0.22683708090974392,2.4967001851036743,1.0,-0.0026175711486764452
contextual_outcome_history,29,transfer,-0.14894668987969073,0.22271620338277034,1.996167212922642,,-0.14894668987969065
contextual_outcome_history,30,validation,0.059851991773042346,0.24842366227878526,2.4045118059560333,1.0,-0.08292066774038262
contextual_outcome_history,30,test,0.028550562118051737,0.21058480396016388,2.5163348791931495,1.0,-0.010730894125280444
contextual_outcome_history,30,transfer,-0.15898451838810002,0.21085608646659118,2.0136068246417245,,-0.15898451838809957
contextual_outcome_history,31,validation,0.058713710111820916,0.24813077333557615,2.4074230621294865,1.0,-0.022419240465260587
contextual_outcome_history,31,test,0.02413000039840507,0.19575322116683574,2.5277854119815832,1.0,-0.007261506344381802
contextual_outcome_history,31,transfer,-0.16469690612231602,0.2536771035055134,2.0235314636201767,,-0.1646969061223158
outcome_history,0,validation,-0.00536281005666428,0.07168103689184349,3.0460234988138564,1.0,-0.4613782655598104
outcome_history,0,test,0.016237064075141916,0.17257045245932812,2.8860018623749917,1.0,-0.11482419038379002
outcome_history,0,transfer,-0.22248915043854556,0.5247975946714887,2.123939066759146,1.0,-0.22248915043854525
outcome_history,1,validation,-0.006233018783099675,-0.017592887595960803,3.048660035796406,1.0,-0.19829471630804585
outcome_history,1,test,-0.0063668221882329235,0.06340688595240529,2.9523134253245384,1.0,-0.07588873809585939
outcome_history,1,transfer,-0.25149700377900097,0.5971412737716231,2.1743369888433715,1.0,-0.2514970037790009
outcome_history,2,validation,0.008687370003876982,0.1167820147277722,3.0034546090569707,0.0,-0.23565144999388027
outcome_history,2,test,-0.004918701318726626,0.06019209937294561,2.9480651665482402,0.0,-0.09653781351026311
outcome_history,2,transfer,-0.4752496535279165,-0.7181999972844914,2.5630823563765843,0.0,-0.47524965352791626
outcome_history,3,validation,0.033876023490780005,0.20367879018865423,2.9271386466431015,1.0,-0.33644792657377287
outcome_history,3,test,0.035203593000995625,0.2103663589370563,2.8303609799998664,1.0,-0.06626313519612798
outcome_history,3,transfer,-0.13835974660534123,0.6403778997459212,1.9777735753104906,1.0,-0.13835974660534087
outcome_history,4,validation,0.19405977715570577,0.443807227384959,2.4418178520892693,1.0,0.024424495014686798
outcome_history,4,test,0.24830197730286463,0.5028893385509494,2.205207996993734,1.0,0.21220584062662662
outcome_history,4,transfer,0.2580434465619835,0.5234877896089052,1.2890670719815045,1.0,0.2580434465619837
