target,layer,heldout_task,target_normalization_used,r2,pearson_r,mse,contrast_sign_accuracy
contextual_outcome_history,1,debugging,False,0.011317406109495276,0.16990696986351675,2.70131517038659,1.0
contextual_outcome_history,1,foraging,False,-0.12025013422381892,0.06858290972798242,3.3616300633794767,1.0
contextual_outcome_history,1,solvability,False,-0.40799814775596666,-0.18598796902941536,2.5364268076687546,
contextual_outcome_history,2,bandit,False,0.034208178916408705,0.44315853427496643,2.438964475819753,1.0
contextual_outcome_history,2,debugging,False,0.023243922431436026,0.19911788711819173,2.6687291011370586,1.0
contextual_outcome_history,2,foraging,False,-0.13593021988054477,0.042301766055647116,3.408682632917026,1.0
contextual_outcome_history,2,solvability,False,-0.535701902775034,-0.12170890650871331,2.7664776981380124,
contextual_outcome_history,3,bandit,False,0.07636478304010152,0.3060937357441183,2.332504203911958,1.0
contextual_outcome_history,3,debugging,False,0.1005504749267121,0.33468146468263454,2.4575092775898226,1.0
contextual_outcome_history,3,foraging,False,0.0043435751975656745,0.2544233478308369,2.987751099652246,1.0
contextual_outcome_history,3,solvability,False,-0.6510694155377066,-0.14730560704614745,2.974305565363323,
contextual_outcome_history,4,bandit,False,0.008349669027350126,0.2664722717111088,2.5042663200063053,1.0
contextual_outcome_history,4,debugging,False,0.011411158403661026,0.6101976205106461,2.7010590168990567,1.0
contextual_outcome_history,4,foraging,False,-0.001659090758615811,0.23903668270069447,3.0057638110300537,1.0
contextual_outcome_history,4,solvability,False,-0.7554808210896629,-0.13710346906203494,3.162396642393814,
contextual_outcome_history,5,bandit,False,-0.0022623475138670024,0.18021270496554692,2.5310653990581455,1.0
contextual_outcome_history,5,debugging,False,0.004895859769636801,0.4541794597130856,2.7188603569332046,1.0
contextual_outcome_history,5,foraging,False,-0.002739274238266809,0.16296528855185463,3.0090052096679365,1.0
contextual_outcome_history,5,solvability,False,-0.3330667873889386,-0.028585495775619058,2.401442318184214,
contextual_outcome_history,6,bandit,False,-0.0019392922100394117,0.21499905967716082,2.53024957064403,1.0
contextual_outcome_history,6,debugging,False,-0.051610876130164574,0.36827183772199107,2.8732501518566775,1.0
contextual_outcome_history,6,foraging,False,-0.0014748375074760123,0.1657371225574792,3.005210906594353,1.0
contextual_outcome_history,6,solvability,False,-0.2676483601224673,0.04200826618495472,2.2835948246355473,
contextual_outcome_history,7,bandit,False,0.1048532162177972,0.40264532657824187,2.2605608772287735,1.0
contextual_outcome_history,7,debugging,False,0.07667736707769945,0.42588619600410377,2.52273626630725,1.0
contextual_outcome_history,7,foraging,False,0.00473960384806571,0.3114841215785089,2.9865627027248016,1.0
contextual_outcome_history,7,solvability,False,-0.715467919822752,-0.02644599535161046,3.09031572695529,
contextual_outcome_history,8,bandit,False,0.12707304681588094,0.4799451585582699,2.204447979703243,1.0
contextual_outcome_history,8,debugging,False,0.16133604513114075,0.5455232301192385,2.2914286932359653,1.0
contextual_outcome_history,8,foraging,False,-0.36462251981154403,0.495072556853728,4.094939110131468,1.0
contextual_outcome_history,8,solvability,False,-0.12094218055527084,0.002050694194445166,2.019312171069587,
contextual_outcome_history,9,bandit,False,0.13778360622375485,0.4893727367523208,2.1774000452087754,1.0
contextual_outcome_history,9,debugging,False,0.09251400322699221,0.5523374430142861,2.4794668229668577,1.0
contextual_outcome_history,9,foraging,False,-1.095977221984429,0.4792795922935658,6.289577502673818,1.0
contextual_outcome_history,9,solvability,False,-0.040183105035833,0.006084955555634812,1.8738293915385804,
contextual_outcome_history,10,bandit,False,0.12100884623478969,0.43360540877684317,2.2197622218293906,1.0
contextual_outcome_history,10,debugging,False,0.08142544502472726,0.7264633632837308,2.5097633920321876,1.0
contextual_outcome_history,10,foraging,False,-2.075815787884082,0.4558885369066131,9.229862604865838,1.0
contextual_outcome_history,10,solvability,False,0.022237167588789686,0.22407372942476522,1.7613828992762015,
contextual_outcome_history,11,bandit,False,0.039025462038424164,0.23955273232222493,2.426799139410733,1.0
contextual_outcome_history,11,debugging,False,0.006428997606972686,0.1701321055128102,2.7146714609984723,1.0
contextual_outcome_history,11,foraging,False,-0.028946814187891468,0.18396636231495764,3.0876484086200326,1.0
contextual_outcome_history,11,solvability,False,-0.1334654777002815,0.26379485539706776,2.0418721628207357,
contextual_outcome_history,12,bandit,False,-0.0032916396366955425,0.13187462077377554,2.5336647241590806,1.0
contextual_outcome_history,12,debugging,False,-0.00010621234598939822,-0.01188024197169506,2.732527203475064,0.0
contextual_outcome_history,12,foraging,False,-0.0022256916550338346,-0.03910181319654306,3.007464058634716,0.0
contextual_outcome_history,12,solvability,False,-0.12183232195522953,-0.18707885808729877,2.0209157090522685,
contextual_outcome_history,13,bandit,False,-0.02109040733485945,-0.10835987148157887,2.578612880875178,0.0
contextual_outcome_history,13,debugging,False,-0.00021182279560760797,0.026982975931235113,2.7328157562537494,0.0
contextual_outcome_history,13,foraging,False,-0.0048421981396047364,-0.04260592726815255,3.015315632663453,0.0
contextual_outcome_history,13,solvability,False,-0.11303339437891546,0.061960576607228,2.005064952558825,
contextual_outcome_history,14,bandit,False,0.009743214308606363,0.15636575846875392,2.5007471273995416,1.0
contextual_outcome_history,14,debugging,False,0.0015636323516049488,0.054005731951126595,2.7279647919977354,1.0
contextual_outcome_history,14,foraging,False,-0.004233448722108957,-0.21720235623318657,3.0134889063990222,0.0
contextual_outcome_history,14,solvability,False,-0.24077384500641164,0.06919500816390309,2.235181948033328,
contextual_outcome_history,15,bandit,False,0.011910780999865977,0.16247701049484956,2.4952732581416504,1.0
contextual_outcome_history,15,debugging,False,0.0006588717796720545,0.06609370098454169,2.7304368123140965,1.0
contextual_outcome_history,15,foraging,False,0.005128247788325213,0.5230172372546497,2.985396465726819,1.0
contextual_outcome_history,15,solvability,False,-0.33921297941606965,0.1697880176266693,2.412514325805489,
contextual_outcome_history,16,bandit,False,0.006480437797862892,0.17835219511248782,2.508986787156977,1.0
contextual_outcome_history,16,debugging,False,-0.0016022108647140154,0.10646935505253684,2.736614625989103,1.0
contextual_outcome_history,16,foraging,False,0.02289875777921513,0.6020388950075609,2.9320709817103845,1.0
contextual_outcome_history,16,solvability,False,-0.42577498819478965,0.2372685453132853,2.5684507522432156,
contextual_outcome_history,17,bandit,False,0.089240048470694,0.3015820780495507,2.299989624355121,1.0
contextual_outcome_history,17,debugging,False,0.01771068461722558,0.22415496306688307,2.6838472182569997,1.0
contextual_outcome_history,17,foraging,False,0.11113803139836753,0.648120939145222,2.6672838722007453,1.0
contextual_outcome_history,17,solvability,False,-1.0531943727700104,0.4148899641691634,3.698710297842734,
contextual_outcome_history,18,bandit,False,0.08819176563491748,0.2979008873744401,2.3026369076943007,1.0
contextual_outcome_history,18,debugging,False,0.012612100986728714,0.19565379794761542,2.6977777571313104,1.0
contextual_outcome_history,18,foraging,False,0.09248285382116017,0.5990997608607569,2.7232640536489483,1.0
contextual_outcome_history,18,solvability,False,-1.0001540264308142,0.36673074028115477,3.6031611974712683,
contextual_outcome_history,19,bandit,False,0.09230953653528284,0.3236552690443172,2.2922380859955545,1.0
contextual_outcome_history,19,debugging,False,0.0801991271343806,0.30995514166544647,2.5131139831535245,1.0
contextual_outcome_history,19,foraging,False,0.20282301739096098,0.5276336241297368,2.392156919873463,1.0
contextual_outcome_history,19,solvability,False,-0.9756750559689225,0.46435461605358447,3.5590637552959143,
contextual_outcome_history,20,bandit,False,0.07716213812424666,0.29896171312722164,2.3304906015160896,1.0
contextual_outcome_history,20,debugging,False,0.06612949116793121,0.2789081224774672,2.5515555632044378,1.0
contextual_outcome_history,20,foraging,False,0.18470725963902257,0.5140592190219995,2.446518418274006,1.0
contextual_outcome_history,20,solvability,False,-0.8996464703246294,0.4770960303086374,3.4221026782627737,
contextual_outcome_history,21,bandit,False,0.0711294053393341,0.2889235434464574,2.3457253763747197,1.0
contextual_outcome_history,21,debugging,False,0.054626494141954196,0.2559466680744639,2.5829844773607085,1.0
contextual_outcome_history,21,foraging,False,0.17028712480607555,0.5200555959950837,2.489790145981503,1.0
contextual_outcome_history,21,solvability,False,-0.8681617552652379,0.481894866439666,3.3653847944816553,
contextual_outcome_history,22,bandit,False,0.05523361721617914,0.28239294907029955,2.3858678394823842,1.0
contextual_outcome_history,22,debugging,False,0.06460340118682684,0.276637756892926,2.5557252027255606,1.0
contextual_outcome_history,22,foraging,False,0.18178165105376942,0.5384289237049258,2.4552975413228793,1.0
contextual_outcome_history,22,solvability,False,-0.6611547665623898,0.5136243521744158,2.9924737389113676,
contextual_outcome_history,23,bandit,False,0.054663650739169234,0.26796524739886635,2.3873072055646896,1.0
contextual_outcome_history,23,debugging,False,0.042759428494821616,0.2198009851640102,2.6154081132764864,1.0
contextual_outcome_history,23,foraging,False,0.13800359018932895,0.5200869882533243,2.586666100024571,1.0
contextual_outcome_history,23,solvability,False,-0.61214110065664,0.5180975264160939,2.904178469245281,
contextual_outcome_history,24,bandit,False,0.05042474573384659,0.2595104525563096,2.398011933538837,1.0
contextual_outcome_history,24,debugging,False,0.04030951411776107,0.21047929993491785,2.622101859999446,1.0
contextual_outcome_history,24,foraging,False,0.12568416844971542,0.5201020946607238,2.6236340388965704,1.0
contextual_outcome_history,24,solvability,False,-0.630544211512682,0.5067788438947565,2.9373306035674456,
contextual_outcome_history,25,bandit,False,0.043739485387527366,0.2560599526818591,2.414894570293811,1.0
contextual_outcome_history,25,debugging,False,0.04264940797342742,0.21208513514292301,2.615708715416478,1.0
contextual_outcome_history,25,foraging,False,0.12207608488731791,0.5166983054538379,2.6344611227807824,1.0
contextual_outcome_history,25,solvability,False,-0.6125298752250403,0.5031661780841776,2.9048788240284193,
contextual_outcome_history,26,bandit,False,0.032948891539021696,0.26941454676322946,2.4421446199369905,1.0
contextual_outcome_history,26,debugging,False,0.05549450653065302,0.24740583921525833,2.580612861790489,1.0
contextual_outcome_history,26,foraging,False,0.1623895900853275,0.538431544334814,2.513488951572135,1.0
contextual_outcome_history,26,solvability,False,-0.5735779780973711,0.5021422874159032,2.834709245864102,
contextual_outcome_history,27,bandit,False,0.0386490777163323,0.23584755752071465,2.4277496423771048,1.0
contextual_outcome_history,27,debugging,False,0.015850849167279524,0.14883110794232446,2.6889287294987345,1.0
contextual_outcome_history,27,foraging,False,0.08168219661196308,0.4658707176700232,2.75567450634115,1.0
contextual_outcome_history,27,solvability,False,-0.4170335433995638,0.48200652559708723,2.5527035476380786,
contextual_outcome_history,28,bandit,False,0.035907918640532,0.24148228334583982,2.4346720344107697,1.0
contextual_outcome_history,28,debugging,False,0.01688120966462825,0.15498123968322614,2.6861135404181793,1.0
contextual_outcome_history,28,foraging,False,0.09035530182294527,0.45606908184522144,2.7296483802739635,1.0
contextual_outcome_history,28,solvability,False,-0.31966976694070204,0.5050451446341004,2.377308364697165,
contextual_outcome_history,29,bandit,False,0.0357021960116507,0.2280187010028816,2.4351915564990296,1.0
contextual_outcome_history,29,debugging,False,0.014366226440933216,0.14256152531154334,2.692985070651863,1.0
contextual_outcome_history,29,foraging,False,0.07672873950541359,0.4281187387356864,2.7705387672935258,1.0
