target,layer,control,shared_variance
contextual_outcome_history,9,continuation_cost,0.0008874565697483937
contextual_outcome_history,9,response_mapping_sign,0.008055449120185937
contextual_outcome_history,9,task_identity,0.7060829021155263
contextual_outcome_history,10,persistence_logit,0.0013254769494337186
contextual_outcome_history,10,success_evidence,0.0006270146767415825
contextual_outcome_history,10,continuation_value,0.0004126725007248648
contextual_outcome_history,10,disengagement_value,0.0012479337959120874
contextual_outcome_history,10,continuation_cost,0.0012724687002301953
contextual_outcome_history,10,response_mapping_sign,0.012319038817000348
contextual_outcome_history,10,task_identity,0.7254548327582321
contextual_outcome_history,11,persistence_logit,0.04198358069568034
contextual_outcome_history,11,success_evidence,0.0008680687568170793
contextual_outcome_history,11,continuation_value,7.31242961936319e-05
contextual_outcome_history,11,disengagement_value,0.001643923531735882
contextual_outcome_history,11,continuation_cost,0.0004857822321600077
contextual_outcome_history,11,response_mapping_sign,0.002564279333454345
contextual_outcome_history,11,task_identity,0.5845051519776008
contextual_outcome_history,12,persistence_logit,0.0865038484738214
contextual_outcome_history,12,success_evidence,0.0014279642769082915
contextual_outcome_history,12,continuation_value,0.0004335441010911312
contextual_outcome_history,12,disengagement_value,0.001105502796713247
contextual_outcome_history,12,continuation_cost,0.0003293678891392887
contextual_outcome_history,12,response_mapping_sign,7.192026283943399e-06
contextual_outcome_history,12,task_identity,0.5309252440805718
contextual_outcome_history,13,persistence_logit,0.07241833575661105
contextual_outcome_history,13,success_evidence,4.314381496117119e-06
contextual_outcome_history,13,continuation_value,1.6301257363868171e-06
contextual_outcome_history,13,disengagement_value,0.001725375339230166
contextual_outcome_history,13,continuation_cost,0.00013535197453903663
contextual_outcome_history,13,response_mapping_sign,0.0013508088599967377
contextual_outcome_history,13,task_identity,0.5131892327951746
contextual_outcome_history,14,persistence_logit,0.03412042718077945
contextual_outcome_history,14,success_evidence,0.0005885605777243974
contextual_outcome_history,14,continuation_value,7.939424772436749e-05
contextual_outcome_history,14,disengagement_value,0.0031788184986301965
contextual_outcome_history,14,continuation_cost,0.0003201703063490531
contextual_outcome_history,14,response_mapping_sign,0.001002983310396212
contextual_outcome_history,14,task_identity,0.5277568599278141
contextual_outcome_history,15,persistence_logit,0.021374144158116788
contextual_outcome_history,15,success_evidence,0.0004711692873054908
contextual_outcome_history,15,continuation_value,0.0001189833044534272
contextual_outcome_history,15,disengagement_value,0.008512053741232295
contextual_outcome_history,15,continuation_cost,0.00024356234702417628
contextual_outcome_history,15,response_mapping_sign,0.00901691778791462
contextual_outcome_history,15,task_identity,0.4870608363128839
contextual_outcome_history,16,persistence_logit,0.0033815772418420626
contextual_outcome_history,16,success_evidence,0.0024394173717719268
contextual_outcome_history,16,continuation_value,0.0003040663132965011
contextual_outcome_history,16,disengagement_value,0.013300733624697273
contextual_outcome_history,16,continuation_cost,0.00029544474411643916
contextual_outcome_history,16,response_mapping_sign,0.0033980299862862062
contextual_outcome_history,16,task_identity,0.4850953226034859
contextual_outcome_history,17,persistence_logit,0.036184920781119304
contextual_outcome_history,17,success_evidence,0.052963695748171606
contextual_outcome_history,17,continuation_value,0.013535505627245538
contextual_outcome_history,17,disengagement_value,0.03887629451569791
contextual_outcome_history,17,continuation_cost,0.0007795620795232144
contextual_outcome_history,17,response_mapping_sign,0.007276909511093787
contextual_outcome_history,17,task_identity,0.35372836875050745
contextual_outcome_history,18,persistence_logit,0.024146019398650864
contextual_outcome_history,18,success_evidence,0.05274975041868105
contextual_outcome_history,18,continuation_value,0.012850072394075861
contextual_outcome_history,18,disengagement_value,0.039728134635586596
contextual_outcome_history,18,continuation_cost,0.00039205340058164913
contextual_outcome_history,18,response_mapping_sign,0.009146250831401309
contextual_outcome_history,18,task_identity,0.3653206895846636
contextual_outcome_history,19,persistence_logit,0.3405655613304419
contextual_outcome_history,19,success_evidence,0.19033806590327026
contextual_outcome_history,19,continuation_value,0.04005145080373802
contextual_outcome_history,19,disengagement_value,0.10086835643088077
contextual_outcome_history,19,continuation_cost,0.0014055449041085783
contextual_outcome_history,19,response_mapping_sign,0.009017154001010608
contextual_outcome_history,19,task_identity,0.141496359971144
contextual_outcome_history,20,persistence_logit,0.3319469652338717
contextual_outcome_history,20,success_evidence,0.22599682337714316
contextual_outcome_history,20,continuation_value,0.04199606672278681
contextual_outcome_history,20,disengagement_value,0.08432078627859368
contextual_outcome_history,20,continuation_cost,0.002216119609586503
contextual_outcome_history,20,response_mapping_sign,0.010227912623204508
contextual_outcome_history,20,task_identity,0.13553882431366762
contextual_outcome_history,21,persistence_logit,0.2740738594479373
contextual_outcome_history,21,success_evidence,0.22210124842934223
contextual_outcome_history,21,continuation_value,0.0379702797706601
contextual_outcome_history,21,disengagement_value,0.07754682913940995
contextual_outcome_history,21,continuation_cost,0.0023460567189816867
contextual_outcome_history,21,response_mapping_sign,0.011541545844901469
contextual_outcome_history,21,task_identity,0.14843216572253987
contextual_outcome_history,22,persistence_logit,0.33994178259089863
contextual_outcome_history,22,success_evidence,0.271416851702862
contextual_outcome_history,22,continuation_value,0.03898837658986129
contextual_outcome_history,22,disengagement_value,0.049295601312969825
contextual_outcome_history,22,continuation_cost,0.003707840707769716
contextual_outcome_history,22,response_mapping_sign,0.012892672987812239
contextual_outcome_history,22,task_identity,0.11263334356079396
contextual_outcome_history,23,persistence_logit,0.19312622515873676
contextual_outcome_history,23,success_evidence,0.21672049488945455
contextual_outcome_history,23,continuation_value,0.03201958347719281
contextual_outcome_history,23,disengagement_value,0.04986664990222057
contextual_outcome_history,23,continuation_cost,0.0022237451102389834
contextual_outcome_history,23,response_mapping_sign,0.021432661842096686
contextual_outcome_history,23,task_identity,0.14839404713734022
contextual_outcome_history,24,persistence_logit,0.16840933379602568
contextual_outcome_history,24,success_evidence,0.2142347012499435
contextual_outcome_history,24,continuation_value,0.02969233039983706
contextual_outcome_history,24,disengagement_value,0.04398959512892218
contextual_outcome_history,24,continuation_cost,0.002264384877964698
contextual_outcome_history,24,response_mapping_sign,0.023440112074465516
contextual_outcome_history,24,task_identity,0.1600122112165015
contextual_outcome_history,25,persistence_logit,0.16259656605465886
contextual_outcome_history,25,success_evidence,0.20902724593831135
contextual_outcome_history,25,continuation_value,0.029844139998112612
contextual_outcome_history,25,disengagement_value,0.046284086069892816
contextual_outcome_history,25,continuation_cost,0.002030646287546925
contextual_outcome_history,25,response_mapping_sign,0.01835486814431028
contextual_outcome_history,25,task_identity,0.16046316197676552
contextual_outcome_history,26,persistence_logit,0.21293565450178445
contextual_outcome_history,26,success_evidence,0.22562121751895076
contextual_outcome_history,26,continuation_value,0.032743709480050655
contextual_outcome_history,26,disengagement_value,0.05303657900552023
contextual_outcome_history,26,continuation_cost,0.0018405443687972542
contextual_outcome_history,26,response_mapping_sign,0.015613455500127408
contextual_outcome_history,26,task_identity,0.12413041030371312
contextual_outcome_history,27,persistence_logit,0.0841902541550723
contextual_outcome_history,27,success_evidence,0.1562818659074824
contextual_outcome_history,27,continuation_value,0.024641256086717654
contextual_outcome_history,27,disengagement_value,0.04612215629143718
contextual_outcome_history,27,continuation_cost,0.0009966468918402823
contextual_outcome_history,27,response_mapping_sign,0.015673322725069393
contextual_outcome_history,27,task_identity,0.19038646863495814
contextual_outcome_history,28,persistence_logit,0.08882028753955827
contextual_outcome_history,28,success_evidence,0.15732102725461938
contextual_outcome_history,28,continuation_value,0.02518450062443676
contextual_outcome_history,28,disengagement_value,0.05000513879889617
contextual_outcome_history,28,continuation_cost,0.0010385339563317609
contextual_outcome_history,28,response_mapping_sign,0.018282545469831855
contextual_outcome_history,28,task_identity,0.1530224996474018
contextual_outcome_history,29,persistence_logit,0.06816303486384924
contextual_outcome_history,29,success_evidence,0.1397393599005386
contextual_outcome_history,29,continuation_value,0.022517470130251054
contextual_outcome_history,29,disengagement_value,0.04906227146117652
contextual_outcome_history,29,continuation_cost,0.0008468747038379308
contextual_outcome_history,29,response_mapping_sign,0.013236763614743238
contextual_outcome_history,29,task_identity,0.155505235222428
contextual_outcome_history,30,persistence_logit,0.05738467688516537
contextual_outcome_history,30,success_evidence,0.1301257864282634
contextual_outcome_history,30,continuation_value,0.02347329718206998
contextual_outcome_history,30,disengagement_value,0.05547452105393848
contextual_outcome_history,30,continuation_cost,0.0006645973813606309
contextual_outcome_history,30,response_mapping_sign,0.01796346662737118
contextual_outcome_history,30,task_identity,0.16609793660401687
contextual_outcome_history,31,persistence_logit,0.04294313093912938
contextual_outcome_history,31,success_evidence,0.10889310176723359
contextual_outcome_history,31,continuation_value,0.01986234388073253
contextual_outcome_history,31,disengagement_value,0.06345343143625734
contextual_outcome_history,31,continuation_cost,0.00038893500736433893
contextual_outcome_history,31,response_mapping_sign,0.009500660656637214
contextual_outcome_history,31,task_identity,0.17556598826622544
outcome_history,0,persistence_logit,0.029642482513790522
outcome_history,0,success_evidence,0.0024817806142316584
outcome_history,0,continuation_value,0.0006003587981773573
outcome_history,0,disengagement_value,0.0019755294573782127
outcome_history,0,continuation_cost,0.001748839258702063
outcome_history,0,response_mapping_sign,0.006671344242149792
outcome_history,0,task_identity,0.6785682712232476
outcome_history,1,persistence_logit,0.0016792477253981884
outcome_history,1,success_evidence,0.0004465005140716
outcome_history,1,continuation_value,0.00024179249145964154
outcome_history,1,disengagement_value,9.289647638873266e-06
outcome_history,1,continuation_cost,0.004022072963768464
outcome_history,1,response_mapping_sign,0.00019626633634038464
outcome_history,1,task_identity,0.7523029122683863
outcome_history,2,persistence_logit,0.03545779455598875
outcome_history,2,success_evidence,5.9864997928356135e-05
outcome_history,2,continuation_value,5.82081380013261e-05
outcome_history,2,disengagement_value,1.4705319900383216e-06
outcome_history,2,continuation_cost,0.002515385012758053
outcome_history,2,response_mapping_sign,3.7645611793493676e-05
outcome_history,2,task_identity,0.6302262115046026
outcome_history,3,persistence_logit,0.015029247713459969
outcome_history,3,success_evidence,0.0022298800933976113
outcome_history,3,continuation_value,0.0018019587185428806
outcome_history,3,disengagement_value,0.0018577098013624277
outcome_history,3,continuation_cost,6.270858018101092e-05
outcome_history,3,response_mapping_sign,0.0008862887739849425
outcome_history,3,task_identity,0.6195466464194129
outcome_history,4,persistence_logit,0.07605438187225372
outcome_history,4,success_evidence,0.0010367268305435326
outcome_history,4,continuation_value,0.0015714231379974897
outcome_history,4,disengagement_value,0.002831826651859701
outcome_history,4,continuation_cost,0.000576826624051299
outcome_history,4,response_mapping_sign,0.0016920536091848196
outcome_history,4,task_identity,0.32684085711993544
outcome_history,5,persistence_logit,0.10871119138878849
outcome_history,5,success_evidence,0.000187737332212389
outcome_history,5,continuation_value,0.0003017992304220521
outcome_history,5,disengagement_value,0.00316307227621163
outcome_history,5,continuation_cost,0.0005361749415251981
outcome_history,5,response_mapping_sign,0.0018682350839619678
outcome_history,5,task_identity,0.43321432029347956
outcome_history,6,persistence_logit,0.14050947393185212
outcome_history,6,success_evidence,2.4016978764729748e-05
outcome_history,6,continuation_value,0.0002288837104195064
outcome_history,6,disengagement_value,0.002467625368354506
outcome_history,6,continuation_cost,0.0010360092015756581
outcome_history,6,response_mapping_sign,0.004472643147667489
outcome_history,6,task_identity,0.4605242549231641
outcome_history,7,persistence_logit,0.021159301096178355
outcome_history,7,success_evidence,0.0006406643261523386
outcome_history,7,continuation_value,0.0006975063225854908
outcome_history,7,disengagement_value,0.00106722110901425
outcome_history,7,continuation_cost,0.0010759950968357655
outcome_history,7,response_mapping_sign,0.015973386936008215
outcome_history,7,task_identity,0.5061478526605
outcome_history,8,persistence_logit,0.012373043499039768
outcome_history,8,success_evidence,0.0015920993926156982
outcome_history,8,continuation_value,0.0018195616097016116
outcome_history,8,disengagement_value,0.0009319603783956685
outcome_history,8,continuation_cost,0.0017221550908653736
outcome_history,8,response_mapping_sign,8.007419922456577e-05
outcome_history,8,task_identity,0.5555064507744304
outcome_history,9,persistence_logit,0.017276668131396816
outcome_history,9,success_evidence,0.003343191564084926
outcome_history,9,continuation_value,0.0012150659958536413
outcome_history,9,disengagement_value,0.0007546803967404946
outcome_history,9,continuation_cost,0.00042307651166668297
outcome_history,9,response_mapping_sign,8.804460676919924e-05
outcome_history,9,task_identity,0.691843971235588
outcome_history,10,persistence_logit,0.03456791314712789
outcome_history,10,success_evidence,0.002593392836879013
outcome_history,10,continuation_value,0.0021109710273382117
outcome_history,10,disengagement_value,0.0011068852411200189
outcome_history,10,continuation_cost,8.231429260539236e-05
outcome_history,10,response_mapping_sign,0.0013943906615159745
outcome_history,10,task_identity,0.6847282733849009
outcome_history,11,persistence_logit,0.12137354454076947
outcome_history,11,success_evidence,0.008695839301584575
outcome_history,11,continuation_value,0.0003481201959452039
outcome_history,11,disengagement_value,1.508240185961692e-08
outcome_history,11,continuation_cost,0.0002602192653440369
outcome_history,11,response_mapping_sign,0.0019236242198295613
outcome_history,11,task_identity,0.5824624375487737
outcome_history,12,persistence_logit,0.12311260076621636
outcome_history,12,success_evidence,0.012889590052831943
outcome_history,12,continuation_value,8.170414588655336e-05
outcome_history,12,disengagement_value,0.0008537978974563596
outcome_history,12,continuation_cost,0.00020499117472284862
outcome_history,12,response_mapping_sign,0.02510497261178535
outcome_history,12,task_identity,0.4052332252397367
outcome_history,13,persistence_logit,0.19338302473504748
outcome_history,13,success_evidence,0.03957481855261523
outcome_history,13,continuation_value,0.0019633088319296163
outcome_history,13,disengagement_value,3.8528143883801935e-07
outcome_history,13,continuation_cost,6.296129957285437e-05
outcome_history,13,response_mapping_sign,0.025715249311568007
outcome_history,13,task_identity,0.2487369379050465
outcome_history,14,persistence_logit,0.11142650294083419
outcome_history,14,success_evidence,0.03240549468195417
outcome_history,14,continuation_value,0.0012155508674975223
outcome_history,14,disengagement_value,5.742598376032594e-05
outcome_history,14,continuation_cost,1.5264319592310676e-05
outcome_history,14,response_mapping_sign,0.016747913530740687
outcome_history,14,task_identity,0.39526333447666273
outcome_history,15,persistence_logit,0.1063978552527957
outcome_history,15,success_evidence,0.030319543381391614
outcome_history,15,continuation_value,0.005822602219067096
outcome_history,15,disengagement_value,0.014797777280747831
