artifact_id,target_variable,theory,comparison,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,candidate,0.9682648384627148,0.8564300106887597,1.1770732454213224,-0.14587920665036713,0.21001714531231006,1.0,24,0.1,24,1.0,0.9807555998595925,0.9677701915233404,0.9979409671772692
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,generic_value,0.09208627463667884,0.19475602998072492,0.07619494573930367,-0.03003280759833572,1.123328261006165,0.4583333333333333,24,0.1,24,1.0,1.318748477086018e-08,5.832357707902247e-09,0.20298034974130583
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,persistence_output,0.4847109998758877,0.6210979685680089,0.3517228632488971,-0.07497278847113271,0.84627172378091,0.9583333333333334,24,0.1,24,1.0,0.49176210078799903,0.4115508244504422,0.5676712837632971
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,persistence_state,0.2638024359691217,0.18168461243750408,0.1805249198101028,-0.008976895120034143,1.011536555967965,0.5833333333333334,24,0.1,24,1.0,0.23040317403225474,-0.0500094313815766,0.6575154869480102
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,response_mapping,0.673445987483529,0.6829894096148915,0.701673359790081,-0.2937476601781793,0.6736928010356943,0.9583333333333334,24,0.1,24,1.0,0.7103057993145849,0.4907565318655488,0.817778655224626
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,task_id,-0.004620734628374201,0.0019792740913758987,0.0005778407647677207,-0.0006622439389204727,1.181640759329617,0.20833333333333334,24,0.1,24,1.0,1.2672469518193452e-08,4.352686655550997e-09,1.318748477086018e-08
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,shuffled_source,0.6032220811146758,0.5763646796151602,1.7575337666696351,-1.050708894026992,0.7426054666422712,0.875,24,0.1,24,1.0,0.9441617178642623,0.895695520330487,0.981171881215869
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,shuffled_target,0.9682648384627147,0.8564300106887595,1.177073245421322,-0.1458792066503674,0.2100171453123101,1.0,24,0.1,24,1.0,0.9807555998595926,0.9677701915233404,0.9979409671772692
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,unrelated_DAS:das_000_contextual_outcome_history_latent_context_L30_r8,0.2500883088866186,0.7208532307254982,2.241029815187963,-0.6673275148411043,1.020914698301779,1.0,24,0.1,24,1.0,0.6716863062039864,0.06955235132869947,0.8473676828045648
das_001_outcome_history_dual_history_L28_r2,outcome_history,dual_history,unrelated_DAS:das_002_outcome_history_outcome_history_L30_r2,0.9674732408088149,0.8755067151467326,1.2778960520540372,-0.28226218041847634,0.2126203318031485,1.0,24,0.1,24,1.0,0.9807555998595925,0.9640689113067598,0.9979409671772692
das_002_outcome_history_outcome_history_L30_r2,outcome_history,outcome_history,candidate,0.9667386365148124,0.8764929935909971,1.2983131345595678,-0.30116049870422834,0.21422128273086596,1.0,24,0.1,24,1.0,0.9811898992153507,0.9632844089910291,0.9984352429204227
das_002_outcome_history_outcome_history_L30_r2,outcome_history,outcome_history,generic_value,0.1644076816031108,0.18885691386004608,0.07366668461279154,0.019995136782535762,1.0737169541987461,0.6666666666666666,24,0.1,24,1.0,0.17087621441176354,1.3048277985872048e-08,0.2664987623674743
das_002_outcome_history_outcome_history_L30_r2,outcome_history,outcome_history,persistence_output,0.7892822925246976,0.7379105987934218,0.8798377455009193,-0.3542606552428724,0.5391915874813176,1.0,24,0.1,24,1.0,0.8195771677009043,0.67318887020774,0.8926193252020169
das_002_outcome_history_outcome_history_L30_r2,outcome_history,outcome_history,persistence_state,0.3891295593457774,0.2628788120191811,0.35004869261755023,-0.08746552235829715,0.9180517158327501,0.6666666666666666,24,0.1,24,1.0,0.5224547467401159,1.0945955253305328e-08,0.8080186395454471
das_002_outcome_history_outcome_history_L30_r2,outcome_history,outcome_history,response_mapping,0.8076041844660693,0.7342830121331817,0.9582118503116546,-0.4073525485811128,0.5152172585685377,1.0,24,0.1,24,1.0,0.8864503877115815,0.6652016955280999,0.9463403123830679
das_002_outcome_history_outcome_history_L30_r2,outcome_history,outcome_history,task_id,-0.004392158970336402,-0.0632632725020193,-0.014518590981238347,0.016588937334103677,1.177183722173482,0.125,24,0.1,24,1.0,1.2626712120322736e-08,5.526781338138775e-09,1.3188799941055152e-08
das_002_outcome_history_outcome_history_L30_r2,outcome_history,outcome_history,shuffled_source,0.5315829389065676,0.6028768944189625,1.943987033879263,-1.3774489527776166,0.8039128003541293,0.8333333333333334,24,0.1,24,1.0,0.9422751707738273,0.8936864867658347,0.979652928313041
das_002_outcome_history_outcome_history_L30_r2,outcome_history,outcome_history,shuffled_target,0.9667386365148123,0.8764929935909965,1.2983131345595669,-0.3011604987042274,0.21422128273086624,1.0,24,0.1,24,1.0,0.9811898992153506,0.9632844089910289,0.9984352429204227
das_002_outcome_history_outcome_history_L30_r2,outcome_history,outcome_history,unrelated_DAS:das_000_contextual_outcome_history_latent_context_L30_r8,0.2391085368370499,0.7219172016934652,2.2776297689034375,-0.7013773666578362,1.0245990458473264,1.0,24,0.1,24,1.0,0.6671944322611192,0.050674835245496125,0.8475284764316555
das_002_outcome_history_outcome_history_L30_r2,outcome_history,outcome_history,unrelated_DAS:das_001_outcome_history_dual_history_L28_r2,0.9675530988747773,0.8572010746167292,1.1956092679842996,-0.16297776081855672,0.2115822367675721,1.0,24,0.1,24,1.0,0.9811898992153507,0.9659438522524708,0.9984352429204227
