layer,target_variable,theory,pair_split,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75
2,contextual_outcome_history,latent_context,mech_pair_validation,0.04786609600645153,0.5260761836700936,0.19752022700296576,-0.19096862973142817,1.0698764435611212,0.3333333333333333,18,0.1,18,1.0,1.1960954338086083e-08,6.779258238109875e-09,0.1711959478233028
2,contextual_outcome_history,latent_context,mech_task_holdout,-0.01109920232110606,0.21795197668075317,0.05424718030967546,-0.05117454920596672,0.8615202111169347,0.1111111111111111,18,0.1,18,1.0,1.2307144525713909e-08,8.47965508921078e-09,3.8726718304404883e-08
2,contextual_outcome_history,outcome_history,mech_pair_test,,,0.0,-0.013888888888888885,0.041666666666666664,0.8888888888888888,18,0.1,0,0.0,,,
2,contextual_outcome_history,outcome_history,mech_pair_train,,,0.0,0.006944444444444442,0.05103103630798288,0.8333333333333334,18,0.1,0,0.0,,,
2,contextual_outcome_history,outcome_history,mech_pair_validation,,,0.0,0.020833333333333336,0.08838834764831845,0.5,18,0.1,0,0.0,,,
2,contextual_outcome_history,outcome_history,mech_task_holdout,-0.0016623830706323783,0.21592879981654878,0.03458875428585724,-0.027042751989940137,0.7111574920889357,0.1111111111111111,18,0.1,12,0.6666666666666666,1.46612009754854e-08,1.0047554455105967e-08,1.9274847495864833e-08
2,outcome_history,dual_history,mech_pair_test,-0.027345197282019784,0.08855878249591315,0.024011175715233105,-0.043143403950194704,1.1949303497989934,0.08333333333333333,24,0.1,24,1.0,1.2672469518193452e-08,4.352686655550997e-09,1.318748477086018e-08
2,outcome_history,dual_history,mech_pair_train,-0.003591090724426982,-0.20921312304956996,-0.06393864269467919,0.07848626934806571,1.1810350675168113,0.16666666666666666,24,0.1,24,1.0,5.832357707902247e-09,4.352686655550997e-09,1.2801223331360134e-08
2,outcome_history,dual_history,mech_pair_validation,-0.003966323191300303,-0.08325829221302726,-0.01679972221606361,0.01868903399293601,1.145657421222532,0.09090909090909091,22,0.1,22,1.0,1.2672469518193452e-08,5.832357707902247e-09,1.318748477086018e-08
2,outcome_history,dual_history,mech_task_holdout,-0.10183974756649072,-0.4054097552639322,-0.08167572043885064,0.03259416399667371,0.7349580787686263,0.16666666666666666,18,0.1,12,0.6666666666666666,1.0402221195526806e-08,-0.2986809773661885,1.963852125363985e-08
2,outcome_history,latent_context,mech_pair_test,-0.023540967155746495,0.14667299803750464,0.03481845827216941,-0.057648042400512994,1.2621143307590645,0.08333333333333333,24,0.1,24,1.0,1.0557815843803553e-08,4.300606204488133e-09,1.2098545165706298e-08
2,outcome_history,latent_context,mech_pair_train,-0.0021844473890186844,-0.16709043151846967,-0.046063092525428534,0.060363810604404614,1.237317424271356,0.16666666666666666,24,0.1,24,1.0,6.667418506189904e-09,3.616218213764455e-09,1.2797077453274852e-08
2,outcome_history,latent_context,mech_pair_validation,-0.0037680337802561414,-0.07249666702276472,-0.013502154281400402,0.015150147465545724,1.1601545600729186,0.09090909090909091,22,0.1,22,1.0,1.0557815843803553e-08,6.667418506189904e-09,1.4007691229167563e-08
2,outcome_history,latent_context,mech_task_holdout,-0.10027933963070867,-0.4221321521067913,-0.07884355353783462,0.03222311124386595,0.7676602076378733,0.1111111111111111,18,0.1,13,0.7222222222222222,9.0806243635555e-09,-0.34523895669243987,1.2307144525713909e-08
2,outcome_history,outcome_history,mech_pair_test,-0.027510769010026914,0.08842215856716554,0.02432976176453255,-0.0434241778807641,1.190654567913539,0.08333333333333333,24,0.1,24,1.0,1.2626712120322736e-08,4.3960713957957864e-09,1.3188799941055152e-08
2,outcome_history,outcome_history,mech_pair_train,-0.0035740279640392725,-0.21022753529181917,-0.06520171870878118,0.07970779592812363,1.1767041850242308,0.16666666666666666,24,0.1,24,1.0,5.903684652253105e-09,4.3960713957957864e-09,1.276723407550584e-08
2,outcome_history,outcome_history,mech_pair_validation,-0.003997674061156475,-0.08473410684387887,-0.017363865635362134,0.019262787309886096,1.1417193926989446,0.09090909090909091,22,0.1,22,1.0,1.2626712120322736e-08,5.903684652253105e-09,1.3188799941055152e-08
2,outcome_history,outcome_history,mech_task_holdout,-0.09924653331002098,-0.4020925490916904,-0.08078289082658338,0.03305120530556264,0.7449938023916792,0.16666666666666666,18,0.1,12,0.6666666666666666,1.0047554455105967e-08,-0.2940201724962057,1.9274847495864833e-08
3,contextual_outcome_history,dual_history,mech_pair_test,,,0.0,-0.013888888888888885,0.05892556509887896,0.7777777777777778,18,0.1,0,0.0,,,
3,contextual_outcome_history,dual_history,mech_pair_train,,,0.0,-0.006944444444444442,0.05103103630798288,0.8333333333333334,18,0.1,0,0.0,,,
3,contextual_outcome_history,dual_history,mech_pair_validation,,,0.0,-0.006944444444444442,0.05103103630798288,0.8333333333333334,18,0.1,0,0.0,,,
3,contextual_outcome_history,dual_history,mech_task_holdout,0.05603413081976516,0.32397642147668326,0.04548860533620828,-0.0119994563399299,0.6802702781884506,0.16666666666666666,18,0.1,12,0.6666666666666666,1.963852125363985e-08,1.0402221195526806e-08,0.05968119915164474
3,contextual_outcome_history,latent_context,mech_pair_test,-0.024918103570596095,0.12775096656884147,0.031209702978393445,-0.04711982641009224,1.1037595751086793,0.05555555555555555,18,0.1,18,1.0,8.418975794288741e-09,5.13954068193101e-09,1.209999428430919e-08
3,contextual_outcome_history,latent_context,mech_pair_train,-0.01813044638725092,-0.19422362748428473,-0.04380560474932891,0.04027516505850032,1.1109309014582842,0.05555555555555555,18,0.1,18,1.0,1.1698410906646473e-08,5.13954068193101e-09,1.1960954338086083e-08
3,contextual_outcome_history,latent_context,mech_pair_validation,-0.006710824533189719,0.40763479105173933,0.09007958936581188,-0.10353725495928912,1.1001121964828195,0.05555555555555555,18,0.1,18,1.0,1.1698410906646473e-08,5.13954068193101e-09,1.1960954338086083e-08
3,contextual_outcome_history,latent_context,mech_task_holdout,0.03985488151026273,0.3343673805744344,0.07274442459100622,-0.045422830210785574,0.8395315574255166,0.16666666666666666,18,0.1,18,1.0,2.992019371150789e-08,1.2307144525713909e-08,4.7533242897301875e-08
3,contextual_outcome_history,outcome_history,mech_pair_test,,,0.0,-0.013888888888888885,0.05892556509887896,0.7777777777777778,18,0.1,0,0.0,,,
3,contextual_outcome_history,outcome_history,mech_pair_train,,,0.0,-0.006944444444444442,0.05103103630798288,0.8333333333333334,18,0.1,0,0.0,,,
3,contextual_outcome_history,outcome_history,mech_pair_validation,,,0.0,-0.006944444444444442,0.05103103630798288,0.8333333333333334,18,0.1,0,0.0,,,
3,contextual_outcome_history,outcome_history,mech_task_holdout,0.055637649725870375,0.32926614162997814,0.04610317954922636,-0.012900045854113062,0.6905171028169169,0.16666666666666666,18,0.1,12,0.6666666666666666,1.9274847495864833e-08,1.0047554455105967e-08,0.05872362199044048
