artifact_id,comparison,metric,estimate,ci_lower,ci_upper,bootstrap_valid,bootstrap_samples,confidence,resampling_unit,stratified_by
das_001_outcome_history_dual_history_L28_r2,shuffled_target,slope,1.177073245421322,0.7735639546206697,1.5480700275911974,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,shuffled_target,intercept,-0.1458792066503674,-0.5435824494929243,0.2956490746452272,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,shuffled_target,rmse,0.2100171453123101,0.1372021620593743,0.2819150688270903,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,shuffled_target,sign_accuracy,1.0,1.0,1.0,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,unrelated_DAS:das_000_contextual_outcome_history_latent_context_L30_r8,global_cfr,0.2500883088866186,-0.06954781759938654,0.5324824230764651,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,unrelated_DAS:das_000_contextual_outcome_history_latent_context_L30_r8,correlation,0.7208532307254982,0.5603221364257398,0.8546010982989489,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,unrelated_DAS:das_000_contextual_outcome_history_latent_context_L30_r8,slope,2.241029815187963,1.4013580748772214,3.055097022863316,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,unrelated_DAS:das_000_contextual_outcome_history_latent_context_L30_r8,intercept,-0.6673275148411043,-1.6423489342798152,0.31925883011415823,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,unrelated_DAS:das_000_contextual_outcome_history_latent_context_L30_r8,rmse,1.020914698301779,0.804931796559075,1.2172363780396878,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,unrelated_DAS:das_000_contextual_outcome_history_latent_context_L30_r8,sign_accuracy,1.0,1.0,1.0,2000,2000,0.95,contrast_id,task_family
das_001_outcome_history_dual_history_L28_r2,unrelated_DAS:das_002_outcome_history_outcome_history_L30_r2,global_cfr,0.9674732408088149,0.9369539287192439,0.9869261969056985,2000,2000,0.95,contrast_id,task_family
