pair_split,method,median,max
mech_pair_test,random_097,0.008677962255041782,0.13997341812385938
mech_pair_test,random_098,0.00665080322923927,0.1108728962477577
mech_pair_test,ridge_persistence_rank2,0.007961222659830146,0.09866566386628813
mech_task_holdout,direct_DAS_75001,0.012583121089300223,0.10301379088687374
mech_task_holdout,frozen,0.0,0.0
mech_task_holdout,output_rank2,0.012944520197103463,0.09183831322024064
mech_task_holdout,pca_rank2,0.01747667688103329,0.13526995316120605
mech_task_holdout,random_000,0.006997759927960482,0.05562304131793267
mech_task_holdout,random_001,0.010645488815123706,0.06615626447301312
mech_task_holdout,random_002,0.010235622524806608,0.13588446342475682
mech_task_holdout,random_003,0.008628291722639868,0.14519911342748792
mech_task_holdout,random_004,0.009536331037369235,0.06598099325128214
mech_task_holdout,random_005,0.007169666117988483,0.07706366392742346
mech_task_holdout,random_006,0.009903530091592295,0.10618371543436625
mech_task_holdout,random_007,0.009052949599774759,0.11233584025158458
mech_task_holdout,random_008,0.00897183739773283,0.08961694737879511
mech_task_holdout,random_009,0.008354424417087298,0.054707597855182664
mech_task_holdout,random_010,0.00752446623161517,0.09333230034522265
mech_task_holdout,random_011,0.007469843773866102,0.06857400534906098
mech_task_holdout,random_012,0.011519664809109587,0.0695241700270361
mech_task_holdout,random_013,0.00880929885539998,0.06412227470506142
mech_task_holdout,random_014,0.008016424720148522,0.09049211637790035
mech_task_holdout,random_015,0.009123980944922677,0.07392745021106892
mech_task_holdout,random_016,0.007722473484758449,0.07262998192028576
mech_task_holdout,random_017,0.007637747969427385,0.08539942965752742
mech_task_holdout,random_018,0.008814936056967336,0.04759746627675885
mech_task_holdout,random_019,0.01228305932732134,0.07397337013372005
mech_task_holdout,random_020,0.011802889659560972,0.049896020483480234
mech_task_holdout,random_021,0.010206268807730672,0.09096183348456527
mech_task_holdout,random_022,0.016701928025580338,0.1676255895574281
mech_task_holdout,random_023,0.00754226953166654,0.11525817904101493
mech_task_holdout,random_024,0.009790481365909185,0.08832745471194588
mech_task_holdout,random_025,0.00908902988110318,0.07165064565041694
mech_task_holdout,random_026,0.006639160033514959,0.06422312747554781
mech_task_holdout,random_027,0.009996058456545755,0.13778342752535516
mech_task_holdout,random_028,0.006762013704867004,0.08184494121546249
mech_task_holdout,random_029,0.010794266066542678,0.09654772847177708
mech_task_holdout,random_030,0.00919467657067069,0.10757255420780824
mech_task_holdout,random_031,0.011570134829330253,0.09258880153870318
mech_task_holdout,random_032,0.009075880786123473,0.13165963384852625
mech_task_holdout,random_033,0.008997591716775565,0.07181224036789946
mech_task_holdout,random_034,0.006654999182957045,0.0880242304549191
mech_task_holdout,random_035,0.009397933469424467,0.1337784724985768
mech_task_holdout,random_036,0.006800610839773434,0.09954090889519118
mech_task_holdout,random_037,0.006542782593283182,0.1591674196495166
mech_task_holdout,random_038,0.00949334070989561,0.14481063851398077
mech_task_holdout,random_039,0.007585190699942158,0.061376078664949194
mech_task_holdout,random_040,0.009000119645947402,0.04644554986850941
mech_task_holdout,random_041,0.0074337749041800665,0.12233380815272318
mech_task_holdout,random_042,0.008800129770374355,0.07586225625949926
mech_task_holdout,random_043,0.0106307141929898,0.07593832199247243
mech_task_holdout,random_044,0.008623712770759323,0.07201590802724309
mech_task_holdout,random_045,0.011813955297435834,0.09593608126898531
mech_task_holdout,random_046,0.01266267036792625,0.11396682431870775
mech_task_holdout,random_047,0.008561211463360086,0.09908527132473137
mech_task_holdout,random_048,0.008639804158416104,0.21000414487722904
mech_task_holdout,random_049,0.012223835348094073,0.10391273720656173
mech_task_holdout,random_050,0.01189171551978118,0.10288730001469483
mech_task_holdout,random_051,0.013225578740205923,0.10845528878256999
mech_task_holdout,random_052,0.010533881631279256,0.14283379220395478
mech_task_holdout,random_053,0.008733849306078009,0.0985965612338034
mech_task_holdout,random_054,0.008721539253138054,0.15173363054197805
mech_task_holdout,random_055,0.008098537469945233,0.08708115033892834
mech_task_holdout,random_056,0.0070675078645424955,0.06479125991005456
mech_task_holdout,random_057,0.006396365736575321,0.08972807009048893
mech_task_holdout,random_058,0.00994777356931378,0.04901474735488187
mech_task_holdout,random_059,0.009223173596644839,0.18011142004943972
mech_task_holdout,random_060,0.010914071310115854,0.0905941744644478
mech_task_holdout,random_061,0.009382539907488139,0.053173186442586715
mech_task_holdout,random_062,0.008495579063160976,0.08136127995428434
mech_task_holdout,random_063,0.009170996413524342,0.06625226816156506
mech_task_holdout,random_064,0.010801981190097933,0.06842800208172513
mech_task_holdout,random_065,0.009148731006518753,0.12770343585038588
mech_task_holdout,random_066,0.008543673755126342,0.045983522307529084
mech_task_holdout,random_067,0.008832278468022921,0.04437240805257112
mech_task_holdout,random_068,0.008639508922707283,0.06897375905384044
