split,method,endpoint,n,recovery
mech_pair_test,random_066,global_prediction,128,-0.004506651357333524
mech_pair_test,random_066,task_prediction,128,0.0009362272047521714
mech_pair_test,random_067,natural_effect,128,0.05804353264948714
mech_pair_test,random_067,original_prediction,128,0.022027495832756205
mech_pair_test,random_067,global_prediction,128,0.025475064956747784
mech_pair_test,random_067,task_prediction,128,0.02969202228013612
mech_pair_test,random_068,natural_effect,128,0.0713034776082061
mech_pair_test,random_068,original_prediction,128,0.03899664492542232
mech_pair_test,random_068,global_prediction,128,0.04086591216308311
mech_pair_test,random_068,task_prediction,128,0.045581299644984696
mech_pair_test,random_069,natural_effect,128,0.031273455091318514
mech_pair_test,random_069,original_prediction,128,0.022865905185903812
mech_pair_test,random_069,global_prediction,128,0.024581878755849496
mech_pair_test,random_069,task_prediction,128,0.028237987348257998
mech_pair_test,random_070,natural_effect,128,0.04953715286464844
mech_pair_test,random_070,original_prediction,128,0.03324095160486229
mech_pair_test,random_070,global_prediction,128,0.03299987995199316
mech_pair_test,random_070,task_prediction,128,0.035045855607623855
mech_pair_test,random_071,natural_effect,128,0.037277958468851624
mech_pair_test,random_071,original_prediction,128,0.007444616486840361
mech_pair_test,random_071,global_prediction,128,0.01128742642542846
mech_pair_test,random_071,task_prediction,128,0.013572199637744142
mech_pair_test,random_072,natural_effect,128,0.022016512384288256
mech_pair_test,random_072,original_prediction,128,-0.01859715761317915
mech_pair_test,random_072,global_prediction,128,-0.007501181350308972
mech_pair_test,random_072,task_prediction,128,-0.003354987469824211
mech_pair_test,random_073,natural_effect,128,0.01876407305479111
mech_pair_test,random_073,original_prediction,128,-0.029462517380799413
mech_pair_test,random_073,global_prediction,128,-0.016655362623893888
mech_pair_test,random_073,task_prediction,128,-0.013136499328210816
mech_pair_test,random_074,natural_effect,128,0.027770828121090774
mech_pair_test,random_074,original_prediction,128,0.013745815227000246
mech_pair_test,random_074,global_prediction,128,0.017334424364175205
mech_pair_test,random_074,task_prediction,128,0.02285810454338022
mech_pair_test,random_075,natural_effect,128,0.028771578684013033
mech_pair_test,random_075,original_prediction,128,0.013145366739276465
mech_pair_test,random_075,global_prediction,128,0.017203809629613098
mech_pair_test,random_075,task_prediction,128,0.022877597091898516
mech_pair_test,random_076,natural_effect,128,0.0
mech_pair_test,random_076,original_prediction,128,-0.050256905739387125
mech_pair_test,random_076,global_prediction,128,-0.03231366420038295
mech_pair_test,random_076,task_prediction,128,-0.027623798670851185
mech_pair_test,random_077,natural_effect,128,0.02601951463597696
mech_pair_test,random_077,original_prediction,128,0.00604852796352906
mech_pair_test,random_077,global_prediction,128,0.011737442178539448
mech_pair_test,random_077,task_prediction,128,0.01999350969654945
mech_pair_test,random_078,natural_effect,128,0.04903677758318736
mech_pair_test,random_078,original_prediction,128,-0.004777606688498581
mech_pair_test,random_078,global_prediction,128,0.0045204193394404735
mech_pair_test,random_078,task_prediction,128,0.013496393301029808
mech_pair_test,random_079,natural_effect,128,0.05078809106830118
mech_pair_test,random_079,original_prediction,128,0.05227941693307392
mech_pair_test,random_079,global_prediction,128,0.04864897630378939
mech_pair_test,random_079,task_prediction,128,0.05208095760220843
mech_pair_test,random_080,natural_effect,128,0.046785088816612475
mech_pair_test,random_080,original_prediction,128,0.04399861239884162
mech_pair_test,random_080,global_prediction,128,0.04241501934237246
mech_pair_test,random_080,task_prediction,128,0.04805614791624169
mech_pair_test,random_081,natural_effect,128,0.00825619214410811
mech_pair_test,random_081,original_prediction,128,-0.056282781805655935
mech_pair_test,random_081,global_prediction,128,-0.037622056938674486
mech_pair_test,random_081,task_prediction,128,-0.03231559946854645
mech_pair_test,random_082,natural_effect,128,0.061045784338253695
mech_pair_test,random_082,original_prediction,128,0.00586996031447895
mech_pair_test,random_082,global_prediction,128,0.012981712658267974
mech_pair_test,random_082,task_prediction,128,0.019250266897294144
mech_pair_test,random_083,natural_effect,128,0.011508631473605258
mech_pair_test,random_083,original_prediction,128,-0.06971168760766755
mech_pair_test,random_083,global_prediction,128,-0.045001434344148494
mech_pair_test,random_083,task_prediction,128,-0.03500009233198753
mech_pair_test,random_084,natural_effect,128,0.034025519139354476
