pair_split,method,median,max
mech_pair_test,random_084,0.007551792032356029,0.1014931503342247
mech_pair_test,random_085,0.009989155603971452,0.10169324660287157
mech_pair_test,random_086,0.01281765879491678,0.10509334753418008
mech_pair_test,random_087,0.012329781108398039,0.051292405506907314
mech_pair_test,random_088,0.01059049865346555,0.08385899567428895
mech_pair_test,random_089,0.009949187117241572,0.07963836121368716
mech_pair_test,random_090,0.009740847210861717,0.09056542722495528
mech_pair_test,random_091,0.007964926938787857,0.07721846956957666
mech_pair_test,random_092,0.011220930869215131,0.10328996253965059
mech_pair_test,random_093,0.009333406253646679,0.07821266257139955
mech_pair_test,random_094,0.009418740179038187,0.0518216705996006
mech_pair_test,random_095,0.011809230541330602,0.10314796036265828
mech_pair_test,random_096,0.00873372815316558,0.08739381926377063
mech_pair_test,random_097,0.010531801698793017,0.08327861239584333
mech_pair_test,random_098,0.008425914382536783,0.09290713834452034
mech_pair_test,ridge_persistence,0.012373856891467472,0.18027823800018475
mech_pair_test,selected,0.0,0.0
mech_task_holdout,output,0.05105971034347184,0.8537739474851874
mech_task_holdout,pca,0.03888957609208854,0.3414465720620595
mech_task_holdout,random_000,0.021862756719139537,0.42084742826302146
mech_task_holdout,random_001,0.020918739153111165,1.2965895159742173
mech_task_holdout,random_002,0.02121118667737373,0.25139310875323106
mech_task_holdout,random_003,0.015931225397913945,2.13746316816353
mech_task_holdout,random_004,0.016555606302295293,0.5051857289038088
mech_task_holdout,random_005,0.016549475184069014,0.7528069862595375
mech_task_holdout,random_006,0.016254230416601054,1.1372738919196608
mech_task_holdout,random_007,0.017018232948723906,1.899443449589417
mech_task_holdout,random_008,0.01967091784914922,0.8070961082163318
mech_task_holdout,random_009,0.015134369903084722,0.2535937547096985
mech_task_holdout,random_010,0.020293049088660343,0.10380790830828139
mech_task_holdout,random_011,0.019609415936891986,0.8376150684627426
mech_task_holdout,random_012,0.015569091371942236,0.9167554276063572
mech_task_holdout,random_013,0.018611261870434326,0.11055600948161395
mech_task_holdout,random_014,0.021751675336488543,0.8509395291257135
mech_task_holdout,random_015,0.019118344757272303,0.4019176862558999
mech_task_holdout,random_016,0.020897845734314732,0.4306330650078326
mech_task_holdout,random_017,0.021637733972796384,0.4546892769448842
mech_task_holdout,random_018,0.027902759705543137,0.128193846383159
mech_task_holdout,random_019,0.024780020137504043,0.5377080828194825
mech_task_holdout,random_020,0.01674845971967759,1.0672483332686336
mech_task_holdout,random_021,0.016004069266345202,0.10387543713230922
mech_task_holdout,random_022,0.01825215787128432,0.9978157423644325
mech_task_holdout,random_023,0.019815874458690548,0.6102337507812093
mech_task_holdout,random_024,0.020505526257560226,2.117736768685796
mech_task_holdout,random_025,0.02245055388392453,0.7998253572063416
mech_task_holdout,random_026,0.025094585508732857,0.13656814096394704
mech_task_holdout,random_027,0.018971763615496864,0.7667948430391424
mech_task_holdout,random_028,0.01509907823814926,0.5474504783406918
mech_task_holdout,random_029,0.028549884251254848,0.7891051811510688
mech_task_holdout,random_030,0.015564620402604729,0.6378093920730838
mech_task_holdout,random_031,0.018332722348746295,1.2540093061309132
mech_task_holdout,random_032,0.019205278716912758,0.852957497554836
mech_task_holdout,random_033,0.021980497585614725,2.215477651562139
mech_task_holdout,random_034,0.016903664750298236,0.6599475719477356
mech_task_holdout,random_035,0.015939534981547543,0.8436633003536467
mech_task_holdout,random_036,0.02354455509402437,0.37892194316176586
mech_task_holdout,random_037,0.01871234245847863,0.2055769601527665
mech_task_holdout,random_038,0.013669340291628791,0.8345050690330299
mech_task_holdout,random_039,0.02056641128875823,0.6951993186446676
mech_task_holdout,random_040,0.020144974570587282,1.5565821033882832
mech_task_holdout,random_041,0.017599408010440548,0.7281282985787444
mech_task_holdout,random_042,0.018261825861440262,0.5528404006083276
mech_task_holdout,random_043,0.01809728610898318,0.954163847494044
mech_task_holdout,random_044,0.024436666069188658,1.5713165008877759
