heldout_task,model,sharing,source_tasks,source_rows,target_rows,r2,mse,correlation
information_sampling,meta_control,fully_shared,6,230,36,-0.04012487559401334,1.00504692972989,0.04273309639647414
solvability,meta_control,fully_shared,6,236,30,-0.11055163825151171,0.8880309631048338,-0.263543443633721
waiting,meta_control,fully_shared,6,228,38,-0.897838317727162,1.2387024208892932,-0.11802572131660195
bandit,option_termination,fully_shared,6,222,44,0.1484700158107648,0.735622864399723,0.5049276092216914
debugging,option_termination,fully_shared,6,222,44,-0.05822439156245229,0.8283410064969232,0.04368014262936377
effort,option_termination,fully_shared,6,230,36,0.05151244976296909,0.5576610366381953,0.3716320643217079
foraging,option_termination,fully_shared,6,228,38,0.02169386030303222,0.7655480555974397,0.20599492291234262
information_sampling,option_termination,fully_shared,6,230,36,0.006838289928838059,0.9596675849736341,0.16650638177254695
solvability,option_termination,fully_shared,6,236,30,-0.20458065737472553,0.9632194347937834,-0.10215505312890141
waiting,option_termination,fully_shared,6,228,38,0.05697447124833954,0.6155044897734121,0.24415057690281283
bandit,outcome_history,fully_shared,6,222,44,0.07386410966264256,0.800073689856061,0.2796196207405381
debugging,outcome_history,fully_shared,6,222,44,-0.11893106631144557,0.8758600662196123,0.011981741375097565
effort,outcome_history,fully_shared,6,230,36,-0.3120350036281483,0.7714079115176831,0.25804055128538966
foraging,outcome_history,fully_shared,6,228,38,-0.0693993925993368,0.8368307142742577,-0.027589828833089042
information_sampling,outcome_history,fully_shared,6,230,36,-0.02205441456969126,0.9875858903898526,0.14975846147731028
solvability,outcome_history,fully_shared,6,236,30,-0.5333899144626719,1.2261453458386014,-0.06815056346010556
waiting,outcome_history,fully_shared,6,228,38,-0.45265946126535694,0.9481380866796378,-0.055131584314148406
bandit,task_set_reinstatement,fully_shared,6,222,44,0.13145784203407718,0.7503194038471134,0.3959220213360382
debugging,task_set_reinstatement,fully_shared,6,222,44,-0.09383086050942513,0.856212503847111,0.033370289566380204
effort,task_set_reinstatement,fully_shared,6,230,36,-0.27503456448434993,0.7496535898675543,0.20857222590454225
foraging,task_set_reinstatement,fully_shared,6,228,38,-0.07868905840351914,0.844100100926318,0.005538572297512713
information_sampling,task_set_reinstatement,fully_shared,6,230,36,0.00838481321870943,0.9581732177868544,0.2555788271685939
solvability,task_set_reinstatement,fully_shared,6,236,30,-0.47898804200500633,1.1826439492989962,-0.06686265824583432
waiting,task_set_reinstatement,fully_shared,6,228,38,-0.25449993261607573,0.8188011007165197,0.06599146198969225
