architecture,variant,sharing,heldout_task,sensitivity,source_tasks,source_rows,target_rows,heldout_outcomes_used_for_population,r2,mse,correlation
choice_perseveration,M3,random_effects,information_sampling,with_information_sampling,6,20750,3494,False,-12.544455384258907,3.7783393230531352,0.05698172775040129
choice_perseveration,M4,ontology_conditioned,information_sampling,with_information_sampling,6,20750,3494,False,-14.571460623990085,4.343789419644827,0.0142028785067728
outcome_history,M1,fully_shared,information_sampling,with_information_sampling,6,20750,3494,False,-13.236520832099247,3.9713967787807736,0.056732841806162844
outcome_history,M3,random_effects,information_sampling,with_information_sampling,6,20750,3494,False,-13.16090212138633,3.950302305792422,0.0566566556851647
outcome_history,M4,ontology_conditioned,information_sampling,with_information_sampling,6,20750,3494,False,-15.277571557173566,4.54076498120085,0.022114055966269915
dual_history,M1,fully_shared,information_sampling,with_information_sampling,6,20750,3494,False,-13.248129893221947,3.974635223657236,0.05357484436789612
dual_history,M3,random_effects,information_sampling,with_information_sampling,6,20750,3494,False,-13.188355429057099,3.9579606360078166,0.0564641746964623
dual_history,M4,ontology_conditioned,information_sampling,with_information_sampling,6,20750,3494,False,-15.333208775957196,4.556285449583787,0.020458962013948787
dynamic_reevaluation,M1,fully_shared,information_sampling,with_information_sampling,6,20750,3494,False,-11.083387482246916,3.370762189000307,0.07336339116686828
dynamic_reevaluation,M3,random_effects,information_sampling,with_information_sampling,6,20750,3494,False,-11.030135074015122,3.3559069835039455,0.08580660149342242
dynamic_reevaluation,M4,ontology_conditioned,information_sampling,with_information_sampling,6,20750,3494,False,-15.947370024429272,4.7276108761117746,0.07244618483788975
latent_context,M1,fully_shared,information_sampling,with_information_sampling,6,20750,3494,False,-13.242438765518925,3.9730476358965765,0.05822599734356694
latent_context,M3,random_effects,information_sampling,with_information_sampling,6,20750,3494,False,-13.129748909140417,3.9416118561930267,0.05842602081336898
latent_context,M4,ontology_conditioned,information_sampling,with_information_sampling,6,20750,3494,False,-15.286251066012294,4.54318620291998,0.023094272781850146
