architecture,task_family,parameter,estimate_mean,interval_low,interval_high,probability_positive
dual_history,effort,history_action_kernel,-0.08349225033760888,-0.12139508771882258,-0.036774260375093404,0.0
dual_history,effort,history_action_kernel__available,-0.03324435123620829,-0.03754971868902109,-0.028212576058581688,0.0
dual_history,effort,history_outcome_1,0.14743943499704262,0.08756740606612393,0.2004491208001371,1.0
dual_history,effort,history_outcome_1__available,-0.03324435123620929,-0.03754971868902225,-0.028212576058577087,0.0
dual_history,effort,history_outcome_kernel,0.18940999030975028,0.13599869671467116,0.24614067924913877,1.0
dual_history,effort,history_outcome_kernel__available,-0.033244351236210216,-0.03754971868902362,-0.02821257605859064,0.0
dual_history,effort,intercept,-0.19882765672364988,-0.21486259800791102,-0.1848885346924688,0.0
dual_history,effort,response_mapping,-0.0444115232649472,-0.051325463368572626,-0.0359783730349483,0.0
dual_history,effort,response_mapping__available,0.0,0.0,0.0,0.0
dual_history,foraging,factor_continuation_cost,-0.08904303563596333,-0.11630695890827138,-0.06526270111636244,0.0
dual_history,foraging,factor_continuation_cost__available,0.0,0.0,0.0,0.0
dual_history,foraging,factor_continuation_value,0.3341511964828643,0.31118699207869643,0.3548246868880969,1.0
dual_history,foraging,factor_continuation_value__available,0.0,0.0,0.0,0.0
dual_history,foraging,factor_controllability,0.05130532175250918,0.0336051104171137,0.06507543853985365,1.0
dual_history,foraging,factor_controllability__available,0.350600752622301,0.3410797895109954,0.3589000801661997,1.0
dual_history,foraging,factor_disengagement_value,-0.496710777145038,-0.5195806245275169,-0.4744571911658538,0.0
dual_history,foraging,factor_disengagement_value__available,0.0,0.0,0.0,0.0
dual_history,foraging,factor_environmental_stability,0.20938353828515524,0.18581606745540136,0.23400624354014948,1.0
dual_history,foraging,factor_environmental_stability__available,0.0,0.0,0.0,0.0
dual_history,foraging,factor_goal_continuity,0.04223982170834634,0.017820315087505183,0.06660616481877052,1.0
dual_history,foraging,factor_goal_continuity__available,0.0,0.0,0.0,0.0
dual_history,foraging,factor_prior_investment,-0.06624223524104349,-0.09047934660844534,-0.04468408514148629,0.0
dual_history,foraging,factor_prior_investment__available,0.0,0.0,0.0,0.0
dual_history,foraging,factor_progress_evidence,0.5349729269341698,0.5140350879320855,0.5552615301461653,1.0
dual_history,foraging,factor_progress_evidence__available,-0.27966828390889353,-0.2881811652885478,-0.2729260516584632,0.0
dual_history,foraging,factor_success_evidence,0.3187571094986567,0.3001631356563782,0.334521280216949,1.0
dual_history,foraging,factor_success_evidence__available,0.0,0.0,0.0,0.0
dual_history,foraging,factor_uncertainty,-0.027527194134593386,-0.04972984549671801,-0.006719351395146873,0.01
dual_history,foraging,factor_uncertainty__available,0.0,0.0,0.0,0.0
dual_history,foraging,history_action_1,0.07122582215962786,0.024145939677547242,0.11081534774279318,1.0
dual_history,foraging,history_action_1__available,-0.017712247444176023,-0.02368211373082966,-0.012368741607919637,0.0
