theory,method,split,n,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,mean_cfr,median_cfr,fraction_behavioral_effect_recovered,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75
dual_history,random_005,mech_pair_test,128,-0.0058704339508453,0.03701124959597493,0.007237307143147907,-0.007935603298673679,0.36162103223274267,0.1484375,-0.11032146972312576,9.888266372382049e-08,0.0,128,0.1,128,1.0,9.888266372382049e-08,5.08846896840609e-08,3.1556253099473963e-07
dual_history,random_005,mech_task_holdout,96,-0.13535490797303784,-0.07141685281480081,-0.02211702726566925,0.0012252828681374567,0.22488892916230338,0.09375,-1.343710387116337,3.5906351725234487e-07,0.0,96,0.1,64,0.6666666666666666,3.4448089980543273e-07,8.621117397744626e-08,4.878193322621627e-07
dual_history,random_006,mech_pair_test,128,0.008671980839520477,0.1251485646580924,0.028105639513774785,0.0013612315939303852,0.35899743926710637,0.2265625,-0.04268090897647725,9.888266372382049e-08,0.0,128,0.1,128,1.0,9.888266372382049e-08,5.08846896840609e-08,4.4965422718590276e-07
dual_history,random_006,mech_task_holdout,96,-0.11483248986234496,-0.016824335501799553,-0.006787335598516152,-0.01995440574238595,0.22284713968672945,0.20833333333333334,-3.0438676690081024,3.4448089980543273e-07,0.0,96,0.1,64,0.6666666666666666,3.4448089980543273e-07,8.533585188486015e-08,5.084697708435115e-07
dual_history,random_007,mech_pair_test,128,-0.022957558446778714,-0.018440567136803955,-0.0037281885859001677,-0.012158396513541815,0.36467959841672043,0.15625,-0.09969648990463639,9.375417253654206e-08,0.0,128,0.1,128,1.0,9.375417253654206e-08,5.08846896840609e-08,3.1556253099473963e-07
dual_history,random_007,mech_task_holdout,96,-0.1347732132632895,-0.07854197662080227,-0.02577663116170501,-0.00551329142842511,0.22483131129338516,0.14583333333333334,-0.9416171843783975,3.4448089980543273e-07,0.0,96,0.1,64,0.6666666666666666,1.0386454574184967e-07,8.27098856071018e-08,4.878193322621627e-07
dual_history,random_008,mech_pair_test,128,0.017344717693436262,0.1432665299445104,0.03249521097026085,0.0009023091602310598,0.3574236262168036,0.2265625,0.00817305471734755,2.1193120147700029e-07,0.0,128,0.1,128,1.0,2.1193120147700029e-07,5.284894419310682e-08,4.4965422718590276e-07
dual_history,random_008,mech_task_holdout,96,-0.14274319668192348,-0.10263540389139521,-0.03413076975012841,-0.009940379342665307,0.2256194716434691,0.125,-1.594693079363107,3.4448089980543273e-07,0.0,96,0.1,64,0.6666666666666666,1.0601738398285931e-07,8.27098856071018e-08,4.878193322621627e-07
dual_history,random_009,mech_pair_test,128,-0.006678879488772438,0.09058821823434032,0.018806616249829284,0.0031943320884340477,0.3617663253942949,0.1796875,-0.0730932892578098,9.375417253654206e-08,0.0,128,0.1,128,1.0,9.375417253654206e-08,5.08846896840609e-08,3.160544077007721e-07
dual_history,random_009,mech_task_holdout,96,-0.08790457274466434,0.021860799210628837,0.007914078491706965,-0.006017014254062958,0.22013933831773858,0.17708333333333334,-1.0860025311171984,3.4448089980543273e-07,0.0,96,0.1,64,0.6666666666666666,1.0601738398285931e-07,8.533585188486015e-08,4.929819419074999e-07
dual_history,random_010,mech_pair_test,128,0.006645683018946746,0.1335604568394533,0.03269444406710146,0.0028789287164719597,0.35936415158139917,0.2578125,-0.016883739711598303,9.888266372382049e-08,0.0,128,0.1,128,1.0,9.888266372382049e-08,5.08846896840609e-08,0.34811235254456485
