theory,split,method,median_relative_error,max_relative_error
outcome_history,mech_task_holdout,random_003,0.009146855955098412,0.07202305444047193
outcome_history,mech_task_holdout,random_004,0.009601209654874062,0.07559792137620337
outcome_history,mech_task_holdout,random_005,0.00847468921439682,0.05281873980611344
outcome_history,mech_task_holdout,random_006,0.006453110735115837,0.06240665087438229
outcome_history,mech_task_holdout,random_007,0.012331925459080607,0.07273929169872734
outcome_history,mech_task_holdout,random_008,0.01106826283383783,0.10222645651539344
outcome_history,mech_task_holdout,random_009,0.010950139409060922,0.07599000547041634
outcome_history,mech_task_holdout,random_010,0.009214578065160536,0.075050513397013
outcome_history,mech_task_holdout,random_011,0.008248491387588847,0.08803691023059806
outcome_history,mech_task_holdout,random_012,0.0066640412064445514,0.042575544559484146
outcome_history,mech_task_holdout,random_013,0.00843396647893017,0.04453127192989143
outcome_history,mech_task_holdout,random_014,0.011175402007203683,0.06685959359663927
outcome_history,mech_task_holdout,random_015,0.012310322705011567,0.04830400422854785
outcome_history,mech_task_holdout,random_016,0.01077220516705915,0.08045459153497513
outcome_history,mech_task_holdout,random_017,0.013113339445859842,0.08578909659913052
outcome_history,mech_task_holdout,random_018,0.008616170029693834,0.045358545247152604
outcome_history,mech_task_holdout,random_019,0.00816088795960786,0.07504249600975166
