heldout_task,model,sharing,source_tasks,source_rows,target_rows,r2,mse,correlation
debugging,outcome_history,fully_shared,6,9316,1578,-0.10533918233356143,1.0552754499210764,0.8492011699515631
effort,outcome_history,fully_shared,6,9380,1514,0.7811288152341201,0.26748895325297173,0.8875688805028011
foraging,outcome_history,fully_shared,6,9252,1642,0.6939459981310796,0.5059048371395459,0.8448057400629351
information_sampling,outcome_history,fully_shared,6,9314,1580,-11.72436674671511,2.515916402708171,0.3339677845169944
solvability,outcome_history,fully_shared,6,9318,1576,0.45186975890806835,1.2477520951413565,0.8691008210024014
waiting,outcome_history,fully_shared,6,9374,1520,-0.034607617290304704,1.0082424250974513,0.7850921217622142
bandit,task_set_reinstatement,fully_shared,6,9410,1484,0.14891698012128007,1.0044269851853298,0.8439589004562469
debugging,task_set_reinstatement,fully_shared,6,9316,1578,-0.16347007303984573,1.1107734389771406,0.8242698724012207
effort,task_set_reinstatement,fully_shared,6,9380,1514,0.7155600485830134,0.3476224837419385,0.8517697369559646
foraging,task_set_reinstatement,fully_shared,6,9252,1642,0.6581993876115177,0.5649937007477893,0.8263123420554006
information_sampling,task_set_reinstatement,fully_shared,6,9314,1580,-12.066638283824307,2.583591799962457,0.33488374419286254
solvability,task_set_reinstatement,fully_shared,6,9318,1576,0.39579142559773917,1.3754076277764609,0.8067214061724961
waiting,task_set_reinstatement,fully_shared,6,9374,1520,-0.05696185555677591,1.030027004124641,0.7858360201507993
