theory,split,endpoint_id,metric_id,cfr_ci_low,cfr_ci_high,global_cfr,correlation,slope,intercept,rmse,sign_accuracy,mean_cfr,median_cfr,fraction_behavioral_effect_recovered,examples,thresholded_cfr_threshold,thresholded_cfr_retained,thresholded_cfr_fraction_retained,thresholded_cfr_median,thresholded_cfr_q25,thresholded_cfr_q75,task_family
latent_context,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,0.890461767857672,-0.5773502691896236,-2.0801865400498847,1.6474550898203484,0.19276512199577972,1.0,0.8950792508958518,0.8738765712559908,0.6464346696355955,4,0.1,4,1.0,0.8738765712559908,0.8502644464765662,0.9186913756752765,bandit
latent_context,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,0.7799168372815813,0.7071067811865467,0.6294183818453312,-0.0017623247599369795,0.10534082032070745,0.75,0.6449652089505433,0.804141225343306,0.6235575239060007,4,0.1,4,1.0,0.804141225343306,0.49394979684942336,0.9551566374444258,debugging
latent_context,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,0.11855807325546164,-0.28739191160984673,-0.9898100712545104,0.17321077859310466,0.09585741701323905,0.5,-0.8705652663881607,2.2773237352557985e-06,0.5300879130047155,10,0.1,6,0.6,0.4889646753063905,7.505785604988713e-07,0.9917662810078673,foraging
outcome_history,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,-0.5366667568479202,0.18058309150641924,-0.1191694677670474,0.13929730231863313,0.11688683891879757,0.0045262628891527615,0.16554429563683581,0.28125,-6.693824813393561,2.5625379532767667e-06,0.0,96,0.1,32,0.3333333333333333,3.2912130587536836e-07,7.902204524068424e-08,0.6274907101957569,
outcome_history,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,,,0.011839139290843459,0.017213349388756315,0.023995174026973147,0.029173582328466063,0.26361054519035254,0.40625,-0.15163304154192647,3.2912130587536836e-07,0.0,32,0.1,32,1.0,3.2912130587536836e-07,7.902204524068424e-08,0.6274907101957569,effort
outcome_history,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,,,-10.218638376260987,0.06581149478659486,0.5811220239173546,-0.023571676138384033,0.0726618243601585,0.09375,-16.05802181085034,1.45204806150101e-05,0.0,32,0.1,0,0.0,,,,information_sampling
outcome_history,neural_task_holdout,cognitive_counterfactual_recovery,global_cfr_v1,,,-1.7915545110086892,-0.03810831206215241,-0.17569681435620652,0.03587435964437889,0.08628140702832149,0.34375,-3.871819587788415,2.323171249873912e-06,0.0,32,0.1,0,0.0,,,,waiting
outcome_history,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,-0.4204922018446754,0.7271286897796131,0.41684587471327605,0.45146783247723676,0.3520985366959653,0.07709647230079711,0.15541345304036103,0.375,-2.8054539360133197,2.5922147174339827e-06,0.0,24,0.1,14,0.5833333333333334,0.7842988068749828,1.7826200543469284e-07,0.9259377134827385,
outcome_history,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,0.827792798424866,0.3158726509750911,0.39593628602677106,0.14429058618617588,0.11644570187579929,0.875,0.6685885099799944,0.8760902861288302,0.8800021363111385,8,0.1,8,1.0,0.8760902861288302,0.6435464586033331,0.9365440417960221,bandit
outcome_history,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,-6.21661109128093,0.10369516947304153,0.44953460000400697,0.10334967320261415,0.16009000268841408,0.0,-9.298359347247187,-2.3216763487499894,-0.6877879380061355,8,0.1,0,0.0,,,,debugging
outcome_history,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,0.0,,0.0,0.0,0.062110346358088736,0.0,2.5922147174339827e-06,2.5922147174339827e-06,0.0,2,0.1,0,0.0,,,,foraging
outcome_history,neural_test,cognitive_counterfactual_recovery,global_cfr_v1,,,0.21201077524253675,-0.25000000000000017,-0.22646135416723695,0.09252450980392167,0.20754819498285576,0.3333333333333333,0.2845445082314062,3.527466108654842e-07,0.0,6,0.1,6,1.0,3.527466108654842e-07,1.365930017982464e-07,0.53290196975145,solvability
