architecture,bootstrap,variant_a,variant_b,delta_macro_r2,split_digest,paired_semantic_bootstrap
dual_history,21,M2,M3,0.003054584169080665,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,21,M2,M4,0.0003892926905971761,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,21,M3,M4,-0.002665291478483489,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,22,M2,M3,0.002192988173580046,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,22,M2,M4,-0.0003885050051276595,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,22,M3,M4,-0.0025814931787077056,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,23,M2,M3,0.002291068443705191,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,23,M2,M4,0.0005553860652893761,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,23,M3,M4,-0.0017356823784158149,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,24,M2,M3,0.0006570718348880566,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,24,M2,M4,-0.0010110189212118037,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,24,M3,M4,-0.0016680907560998604,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,25,M2,M3,0.0006478072770265131,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,25,M2,M4,-0.0009601811342659916,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,25,M3,M4,-0.0016079884112925047,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,26,M2,M3,0.001915203514006092,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,26,M2,M4,0.00010147474936872403,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,26,M3,M4,-0.0018137287646373679,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,27,M2,M3,0.002130522544859237,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,27,M2,M4,0.00022374913108180738,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,27,M3,M4,-0.0019067734137774295,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,28,M2,M3,0.0019655261198827656,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,28,M2,M4,0.0003363716707536213,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,28,M3,M4,-0.0016291544491291443,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,29,M2,M3,0.001036368550374256,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,29,M2,M4,-0.0002609810365404863,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,29,M3,M4,-0.0012973495869147422,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,30,M2,M3,0.0036619917622847664,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,30,M2,M4,0.001048660149900793,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,30,M3,M4,-0.0026133316123839734,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,31,M2,M3,0.0014919326223113982,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,31,M2,M4,-5.09057160178461e-05,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,31,M3,M4,-0.0015428383383292443,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,32,M2,M3,0.002080592143202664,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,32,M2,M4,0.0004225044504369002,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,32,M3,M4,-0.001658087692765764,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,33,M2,M3,0.001265271253029776,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,33,M2,M4,-0.000826989875888362,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,33,M3,M4,-0.002092261128918138,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,34,M2,M3,0.0013667284595895168,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,34,M2,M4,-8.14233359512917e-05,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,34,M3,M4,-0.0014481517955408085,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
dual_history,35,M2,M3,0.0024851002880066364,01dd1a2c89a63eedec838645c17ed131f41c04b657943737c5183bf2ebb61081,True
