architecture,variant,sharing,split,r2,mse,correlation,macro_r2,macro_mse,macro_correlation,source_tasks,sensitivity
outcome_history,M3,random_effects,interpolation_test,0.8094760736394988,0.26723697622476217,0.9036846395912839,0.7943844370966068,0.26921504858781325,0.903224763223692,6,without_information_sampling
outcome_history,M4,ontology_conditioned,interpolation_test,0.8094143042209424,0.2673236166428635,0.9039383399721181,0.7943576112093053,0.26934049288446876,0.9033820296023464,6,without_information_sampling
latent_context,M2,task_specific,interpolation_test,0.8091014667009819,0.2677624158765392,0.9042422095228726,0.7940489139013905,0.2700583093987674,0.9037581640796687,6,without_information_sampling
outcome_history,M2,task_specific,interpolation_test,0.8076095859951239,0.26985499131489754,0.9031074174216926,0.7924743242711457,0.27200336928376406,0.9030827422991816,6,without_information_sampling
dual_history,M2,task_specific,structural_test,0.8132089442926456,0.22515524457575126,0.905189800289612,0.769047531681707,0.22546424768589698,0.8874088481483055,6,without_information_sampling
dual_history,M4,ontology_conditioned,structural_test,0.8120502655898355,0.22655189917319957,0.9051838916255369,0.7672827606721837,0.22684327313213012,0.8874427906838959,6,without_information_sampling
dual_history,M3,random_effects,structural_test,0.8108627268076181,0.22798334129413433,0.9051702419068376,0.765547778447378,0.2282715700959996,0.887308642085603,6,without_information_sampling
latent_context,M3,random_effects,structural_test,0.8104205428465809,0.22851634346341776,0.9029011466641622,0.7651095198568115,0.22886954038148152,0.8838549877818617,6,without_information_sampling
latent_context,M2,task_specific,structural_test,0.8097723301206153,0.22929768973451856,0.9022625482844874,0.7646296733528403,0.229532761141691,0.8837581703448661,6,without_information_sampling
outcome_history,M2,task_specific,structural_test,0.8094971858679877,0.22962934464839754,0.9029693280780008,0.7638344731008924,0.22999675179612233,0.8845472601909155,6,without_information_sampling
latent_context,M4,ontology_conditioned,structural_test,0.8088310591552161,0.2304322841808315,0.9026761650230555,0.7634352234359104,0.23070200531481175,0.884029203810302,6,without_information_sampling
